"score","quantile","best_method","best_prop_k","best_value"
"brier",0.9,2,40,0.0307447641349091
"brier",0.91,2,40,0.028490569958
"brier",0.92,2,40,0.0262384170865455
"brier",0.93,4,30,0.0239584469301818
"brier",0.94,4,20,0.0213107903722727
"brier",0.95,4,20,0.0183324140901818
"brier",0.96,4,20,0.0151900437201818
"brier",0.97,4,20,0.0120152790032727
"brier",0.98,4,20,0.00874232953672727
"brier",0.99,2,40,0.00612721971063636
"brier",0.995,2,40,0.00374543831709091
"quant",0.9,2,40,1.80139797716863
"quant",0.91,2,40,1.6874428189364
"quant",0.92,2,40,1.56568008340167
"quant",0.93,2,40,1.43513056892286
"quant",0.94,2,40,1.29472775388641
"quant",0.95,2,40,1.14257747535892
"quant",0.96,2,40,0.977066900596644
"quant",0.97,4,20,0.791558900116603
"quant",0.98,4,20,0.580997503685123
"quant",0.99,4,20,0.319201262404066
"quant",0.995,4,20,0.170534206912154
