"setting","dataset","method_id","method_key","family","label","prop_k","baseline_file","prop_file","baseline_available","prop_available"
3,1,1,"1","gaussian","Gaussian",4,"../simstudy/results/3-1-1.RData","fits/3-1-1-P4.RData",TRUE,TRUE
3,1,1,"1","gaussian","Gaussian",8,"../simstudy/results/3-1-1.RData","fits/3-1-1-P8.RData",TRUE,FALSE
3,1,2,"2","skew_t_k1_thresh0","Skew-t, K=1",4,"../simstudy/results/3-2-1.RData","fits/3-2-1-P4.RData",TRUE,FALSE
3,1,2,"2","skew_t_k1_thresh0","Skew-t, K=1",8,"../simstudy/results/3-2-1.RData","fits/3-2-1-P8.RData",TRUE,FALSE
3,1,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)",4,"../simstudy/results/3-3-1.RData","fits/3-3-1-P4.RData",TRUE,FALSE
3,1,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)",8,"../simstudy/results/3-3-1.RData","fits/3-3-1-P8.RData",TRUE,FALSE
3,1,4,"4","skew_t_k5_thresh0","Skew-t, K=5",4,"../simstudy/results/3-4-1.RData","fits/3-4-1-P4.RData",TRUE,TRUE
3,1,4,"4","skew_t_k5_thresh0","Skew-t, K=5",8,"../simstudy/results/3-4-1.RData","fits/3-4-1-P8.RData",TRUE,FALSE
3,1,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)",4,"../simstudy/results/3-5-1.RData","fits/3-5-1-P4.RData",TRUE,TRUE
3,1,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)",8,"../simstudy/results/3-5-1.RData","fits/3-5-1-P8.RData",TRUE,FALSE
3,2,1,"1","gaussian","Gaussian",4,"../simstudy/results/3-1-2.RData","fits/3-1-2-P4.RData",TRUE,TRUE
3,2,1,"1","gaussian","Gaussian",8,"../simstudy/results/3-1-2.RData","fits/3-1-2-P8.RData",TRUE,FALSE
3,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1",4,"../simstudy/results/3-2-2.RData","fits/3-2-2-P4.RData",TRUE,FALSE
3,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1",8,"../simstudy/results/3-2-2.RData","fits/3-2-2-P8.RData",TRUE,FALSE
3,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)",4,"../simstudy/results/3-3-2.RData","fits/3-3-2-P4.RData",TRUE,FALSE
3,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)",8,"../simstudy/results/3-3-2.RData","fits/3-3-2-P8.RData",TRUE,FALSE
3,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5",4,"../simstudy/results/3-4-2.RData","fits/3-4-2-P4.RData",TRUE,TRUE
3,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5",8,"../simstudy/results/3-4-2.RData","fits/3-4-2-P8.RData",TRUE,FALSE
3,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)",4,"../simstudy/results/3-5-2.RData","fits/3-5-2-P4.RData",TRUE,TRUE
3,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)",8,"../simstudy/results/3-5-2.RData","fits/3-5-2-P8.RData",TRUE,FALSE
3,3,1,"1","gaussian","Gaussian",4,"../simstudy/results/3-1-3.RData","fits/3-1-3-P4.RData",TRUE,TRUE
