"setting","method_id","method_key","family","baseline_label","proposal_label","prop_k","band","datasets_compared","baseline_brier","prop_brier","delta_brier","improve_brier_pct","baseline_quant","prop_quant","delta_quant","improve_quant_pct"
3,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,"bulk",18,0.0560978751989899,0.0688226537626263,0.0127247785636364,-22.4786834604034,0.562066067469886,0.564333824265677,0.00226775679579042,-0.391859954856671
3,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,"tail",9,0.0101046947136364,0.0106441259848485,0.000539431271212121,-4.88453225122658,0.133101965653161,0.133566274064888,0.000464308411727599,-0.4776804136005
3,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,"bulk",18,0.0553863620618687,0.0653161164204545,0.00992975435858586,-17.6433894655792,0.561446247841946,0.564317805270691,0.00287155742874483,-0.491342640682012
3,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,"tail",9,0.0099614658989899,0.0102303251388889,0.00026885923989899,-2.17503412697667,0.131981084721378,0.132167042519309,0.000185957797930707,-0.226080881893922
3,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,"bulk",18,0.0560260148921717,0.0639197362373737,0.00789372134520202,-13.8612171468255,0.562078694112797,0.566115239192878,0.00403654508008109,-0.670306011101934
3,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,"tail",9,0.0100004520075758,0.0101971346464646,0.000196682638888889,-1.81669600262125,0.13232344617134,0.132495451162427,0.000172004991086957,-0.444801420496262
4,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,"bulk",18,0.0226847229722222,0.0667676092487374,0.0440828862765152,-230.012459912872,1.37093723280702,1.38159714076206,0.0106599079550398,-0.873244103270874
4,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,"tail",9,0.00506643077626263,0.0103991494949495,0.00533271871868687,-98.6055253451798,0.310057005847319,0.383532352829288,0.0734753469819687,-27.6445876416367
4,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,"bulk",18,0.0222960378580808,0.0280530885795455,0.00575705072146465,-25.5852314483571,1.37042131782865,1.37716152931892,0.00674021149026545,-0.582614977735967
4,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,"tail",9,0.00487238267626263,0.00642379470959596,0.00155141203333333,-30.8422776684155,0.310025462119178,0.316658342671199,0.00663288055202069,-2.7493889853188
4,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,"bulk",18,0.0223940081020202,0.0442748399684343,0.0218808318664141,-117.135778191657,1.37072320352677,1.4831373852074,0.112414181680633,-7.95279175906352
4,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,"tail",9,0.00499206601868687,0.00805417,0.00306210398131313,-57.0132983112368,0.310388275208332,0.351147969893624,0.0407596946852917,-10.3202740772154
4,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,"bulk",18,0.0225004507229798,0.0268040021843434,0.00430355146136364,-19.1669531624407,1.37130087459177,1.37620955447458,0.00490867988281464,-0.384434739274162
4,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,"tail",9,0.00504609288484848,0.00610127833333333,0.00105518544848485,-19.1936688410704,0.310939274025748,0.313536384369546,0.00259711034379816,-1.18218163706506
4,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,"bulk",18,0.0228624226805556,0.0438362909911616,0.0209738683106061,-109.59523316997,1.37143358005664,1.48387682041222,0.112443240355581,-7.9343502846982
4,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,"tail",9,0.00589337426666667,0.00796243680555556,0.00206906253888889,-31.3964967525561,0.313525258584943,0.346382029557357,0.0328567709724139,-7.50130507728962
5,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,"bulk",18,0.0264860325022727,0.052989196173541,0.0265031636712682,-102.80791779251,1.42141117440214,1.44588607730592,0.024474902903781,-1.80690909574316
5,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,"tail",9,0.00542632650909091,0.0105471358431538,0.00512080933406285,-84.1954545629182,0.339609164392667,0.407171565272529,0.0675624008798617,-24.3712179867613
5,1,"1","gaussian","Gaussian","Gaussian + prop(k=8)",8,"bulk",12,0.0286826805662879,0.0468806461363636,0.0181979655700758,-63.972602247524,1.40444293922535,1.42085996933414,0.0164170301087891,-1.16548628507321
5,1,"1","gaussian","Gaussian","Gaussian + prop(k=8)",8,"tail",6,0.00501764333181818,0.00841154283670034,0.00339389950488216,-60.8118462470418,0.349640890989196,0.395829596407859,0.0461887054186627,-16.2632124160537
5,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,"bulk",18,0.0262974387707071,0.0468116237177329,0.0205141849470258,-78.8236823412944,1.42097382717841,1.43934762447324,0.0183737972948322,-1.33024644441966
