"setting","dataset","method_id","method_key","family","baseline_label","proposal_label","prop_k","quantile","band","baseline_brier","prop_brier","delta_brier","improve_brier_pct","baseline_quant","prop_quant","delta_quant","improve_quant_pct"
3,1,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,0.9,"bulk",0.0666626029363636,0.0836499880681818,0.0169873851318182,-25.4826310158252,0.679644383337279,0.681857457927419,0.0022130745901402,-0.325622434967132
3,1,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,0.91,"bulk",0.0611457775772727,0.0758156269318182,0.0146698493545455,-23.9915983340084,0.631937737101833,0.634187140367564,0.00224940326573153,-0.355953305787316
3,1,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,0.92,"bulk",0.05515827245,0.067932295,0.01277402255,-23.1588517598687,0.581829826535276,0.583707166477833,0.00187733994255701,-0.322661344767479
3,1,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,0.93,"bulk",0.04685470515,0.0585077429545455,0.0116530378045455,-24.8705818705711,0.528661610198131,0.530609495172827,0.00194788497469633,-0.368455915300207
3,1,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,0.94,"bulk",0.0398262005090909,0.0486556092045455,0.00882940869545455,-22.1698494523451,0.472651433968795,0.474600447776969,0.00194901380817381,-0.412357536252071
3,1,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,0.95,"bulk",0.0347174419818182,0.0413624373863636,0.00664499540454545,-19.1402218171071,0.413254722052407,0.414672667691096,0.00141794563868908,-0.343116621062895
3,1,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,0.96,"other",0.0264275440636364,0.0315575065909091,0.00512996252727273,-19.4114236075816,0.349793062471131,0.349792960807856,-1.01663274298947e-07,2.90638337938269e-05
3,1,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,0.97,"other",0.0221744172545455,0.0248766418181818,0.00270222456363636,-12.1862258323043,0.280863857676203,0.280207788945161,-0.00065606873104207,0.23358958908783
3,1,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,0.98,"tail",0.0153570454863636,0.0163829911363636,0.00102594565,-6.68061868352863,0.205066794227059,0.204048612820769,-0.00101818140628995,0.496512080431011
3,1,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,0.99,"tail",0.00780399910454545,0.00805294363636364,0.000248944531818182,-3.18996105052324,0.118319219211913,0.117931246394015,-0.000387972817898138,0.32790346359814
3,1,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,0.995,"tail",0.00377927591818182,0.00405717465909091,0.000277898740909091,-7.35322709760727,0.0670762882409583,0.0672443760243047,0.000168087783346427,-0.250591956941035
3,1,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.9,"bulk",0.0651850512318182,0.0778760203409091,0.0126909691090909,-19.4691403462397,0.676811374282266,0.676469192287464,-0.000342181994802404,0.0505579557029868
