setting,method_id,method_key,family,baseline_label,proposal_label,prop_k,quantile,band,datasets_compared,baseline_brier,prop_brier,delta_brier,improve_brier_pct,baseline_quant,prop_quant,delta_quant,improve_quant_pct
3,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.9,bulk,3,0.072248684,0.089755579,0.017506895,-24.28271532,0.692982221,0.695780954,0.002798733,-0.401530743
3,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.91,bulk,3,0.064988082,0.080796095,0.015808013,-24.33974907,0.644027965,0.646884301,0.002856336,-0.440215567
3,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.92,bulk,3,0.058736923,0.072874895,0.014137972,-24.11775193,0.592904927,0.595600566,0.002695639,-0.449953379
3,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.93,bulk,3,0.053106551,0.065004388,0.011897837,-22.69989126,0.539065724,0.541417588,0.002351864,-0.431389286
3,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.94,bulk,3,0.047326265,0.057013358,0.009687092,-20.8214137,0.4821096,0.483841729,0.001732129,-0.3552541
3,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.95,bulk,3,0.040180746,0.047491609,0.007310863,-18.6105795,0.421305968,0.422477807,0.00117184,-0.272816654
3,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.96,other,3,0.032262676,0.037725081,0.005462405,-17.62249029,0.355944486,0.356462504,0.000518018,-0.136978629
3,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.97,other,3,0.025643259,0.029218141,0.003574882,-14.19834945,0.285316751,0.285382689,6.59E-05,-0.009308705
3,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.98,tail,3,0.016686472,0.017871867,0.001185395,-7.503453936,0.208026089,0.208018319,-7.77E-06,0.025250512
3,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.99,tail,3,0.009311162,0.00955,0.000238839,-2.767127942,0.121214785,0.121772523,0.000557738,-0.404879159
3,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.995,tail,3,0.00431645,0.00451051,0.00019406,-4.383014875,0.070065023,0.070907981,0.000842957,-1.053412594
3,4,4,skew_t_k5_thresh0,"Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.9,bulk,3,0.071216479,0.085180247,0.013963768,-19.60890739,0.692611861,0.696419227,0.003807365,-0.540735813
3,4,4,skew_t_k5_thresh0,"Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.91,bulk,3,0.063997567,0.076432135,0.012434568,-19.39519704,0.643724041,0.647250152,0.003526111,-0.537527356
3,4,4,skew_t_k5_thresh0,"Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.92,bulk,3,0.057938598,0.068980209,0.011041611,-19.02935522,0.592117711,0.595501523,0.003383813,-0.561484691
