"score","quantile","prop_k","friedman_p"
"brier",0.9,10,3.59601731037093e-40
"brier",0.9,20,6.21464371737979e-39
"brier",0.9,30,1.03950745678189e-38
"brier",0.9,40,9.82991127906196e-37
"brier",0.9,50,6.66386043678942e-36
"brier",0.9,60,2.46031804437258e-36
"brier",0.9,70,7.85239632658765e-35
"brier",0.95,10,6.02098303358945e-39
"brier",0.95,20,1.65807679109304e-38
"brier",0.95,30,5.97220130897004e-37
"brier",0.95,40,4.17207085895639e-35
"brier",0.95,50,1.28185540427883e-34
"brier",0.95,60,1.52714498929019e-32
"brier",0.95,70,8.44289441899592e-30
"brier",0.98,10,3.11909492061162e-36
"brier",0.98,20,5.17404939400917e-36
"brier",0.98,30,8.1467932188697e-34
"brier",0.98,40,1.38326734582403e-33
"brier",0.98,50,5.0068082782287e-31
"brier",0.98,60,4.08915246333012e-29
"brier",0.98,70,5.51399146199312e-30
"brier",0.99,10,5.69269729663672e-28
"brier",0.99,20,1.46661382953813e-29
"brier",0.99,30,2.74654970155185e-26
"brier",0.99,40,2.32585047776428e-24
"brier",0.99,50,2.4269491983609e-19
"brier",0.99,60,2.0374274377391e-23
"brier",0.99,70,6.05352793380753e-27
"brier",0.995,10,1.22228577622979e-23
"brier",0.995,20,1.20857585317034e-19
"brier",0.995,30,1.01644082997525e-16
"brier",0.995,40,4.69191522198493e-16
"brier",0.995,50,2.12758034316916e-13
"brier",0.995,60,2.47278786468654e-21
"brier",0.995,70,2.63066154437917e-25
"quant",0.9,10,2.26456675104537e-34
"quant",0.9,20,2.29128657995009e-36
"quant",0.9,30,1.39023263149929e-35
"quant",0.9,40,2.27552548333579e-33
"quant",0.9,50,9.09873986534215e-32
"quant",0.9,60,1.15713466793153e-27
"quant",0.9,70,1.93532971202883e-25
"quant",0.95,10,6.31220739213494e-37
"quant",0.95,20,6.41578895523063e-38
"quant",0.95,30,4.6001133720877e-37
"quant",0.95,40,1.64587909135631e-33
"quant",0.95,50,2.54472232035333e-30
"quant",0.95,60,1.55252438417232e-25
"quant",0.95,70,4.69177643540165e-26
"quant",0.98,10,1.86475766282362e-29
"quant",0.98,20,4.02429980339871e-28
"quant",0.98,30,1.22853465833054e-23
"quant",0.98,40,9.83484582754693e-23
"quant",0.98,50,3.94279578773951e-23
"quant",0.98,60,3.09524455698698e-18
"quant",0.98,70,1.33264113546285e-22
"quant",0.99,10,7.54770144111597e-31
"quant",0.99,20,1.78847427612908e-32
"quant",0.99,30,2.75322076691854e-27
"quant",0.99,40,1.03625300036268e-27
"quant",0.99,50,2.30416671120725e-21
"quant",0.99,60,1.159777222851e-20
"quant",0.99,70,3.15378358610326e-21
"quant",0.995,10,9.9649920402049e-23
"quant",0.995,20,4.54630726750267e-26
"quant",0.995,30,1.98927205882661e-22
"quant",0.995,40,8.38323676919097e-23
"quant",0.995,50,7.20567480851164e-20
"quant",0.995,60,4.09826217260846e-20
"quant",0.995,70,1.07615814642748e-21
