"setting","method_id","method_label","dataset","prop_k","n_quantiles","mean_brier","mean_quant","elapsed_sec","band"
4,2,"Skew-t, K=1",1,10,11,0.0181886726140496,1.1204069745229,213.53,"all"
4,2,"Skew-t, K=1",1,10,6,0.0269611776257576,1.55923165294811,213.53,"bulk"
4,2,"Skew-t, K=1",1,10,3,0.00538153182727273,0.374919523561367,213.53,"tail"
4,2,"Skew-t, K=1",1,20,11,0.0174845164057851,1.11948934293775,217.02,"all"
4,2,"Skew-t, K=1",1,20,6,0.0258456151659091,1.55879730765514,217.02,"bulk"
4,2,"Skew-t, K=1",1,20,3,0.00534718687121212,0.375042266875127,217.02,"tail"
4,2,"Skew-t, K=1",1,30,11,0.0166348936904959,1.11853862168778,225.14,"all"
4,2,"Skew-t, K=1",1,30,6,0.0245052272674242,1.55735240648929,225.14,"bulk"
4,2,"Skew-t, K=1",1,30,3,0.00526259614242424,0.374351590862329,225.14,"tail"
4,2,"Skew-t, K=1",1,40,11,0.0158685301677686,1.11702668770057,233.84,"all"
4,2,"Skew-t, K=1",1,40,6,0.0234496326962121,1.55621530583446,233.84,"bulk"
4,2,"Skew-t, K=1",1,40,3,0.00507084501363636,0.371692030000125,233.84,"tail"
4,2,"Skew-t, K=1",1,50,11,0.0158547038785124,1.11520307301879,242.8,"all"
4,2,"Skew-t, K=1",1,50,6,0.023712150694697,1.55509209593134,242.8,"bulk"
4,2,"Skew-t, K=1",1,50,3,0.0046410026,0.368230082663871,242.8,"tail"
4,2,"Skew-t, K=1",1,60,11,0.0161692416826446,1.11544873637783,218.4,"all"
4,2,"Skew-t, K=1",1,60,6,0.0241729508166667,1.55496922521885,218.4,"bulk"
4,2,"Skew-t, K=1",1,60,3,0.00473731687575758,0.369501542182771,218.4,"tail"
4,2,"Skew-t, K=1",1,70,11,0.0166058615929752,1.11643214117008,228.5,"all"
4,2,"Skew-t, K=1",1,70,6,0.0250082436727273,1.5561709354308,228.5,"bulk"
4,2,"Skew-t, K=1",1,70,3,0.00466867670454546,0.369961551317143,228.5,"tail"
4,2,"Skew-t, K=1",1,80,11,0.0169646929557851,1.11784207291465,238.89,"all"
4,2,"Skew-t, K=1",1,80,6,0.0256041676780303,1.55819256607517,238.89,"bulk"
4,2,"Skew-t, K=1",1,80,3,0.00504761399545455,0.370790798439449,238.89,"tail"
4,2,"Skew-t, K=1",1,90,11,0.0190430858553719,1.12016084657372,249.17,"all"
4,2,"Skew-t, K=1",1,90,6,0.0290390478628788,1.5611268933047,249.17,"bulk"
4,2,"Skew-t, K=1",1,90,3,0.00547497912575758,0.372212058273042,249.17,"tail"
4,2,"Skew-t, K=1",1,100,11,0.0226045517818182,1.1253028213628,262.76,"all"
4,2,"Skew-t, K=1",1,100,6,0.0339964554090909,1.56640092856006,262.76,"bulk"
4,2,"Skew-t, K=1",1,100,3,0.00645740798787879,0.375929862736921,262.76,"tail"
4,2,"Skew-t, K=1",1,144,11,0.123836535098347,2.04013121471797,244.27,"all"
4,2,"Skew-t, K=1",1,144,6,0.162813411052273,2.53047532167041,244.27,"bulk"
4,2,"Skew-t, K=1",1,144,3,0.0593894785030303,1.13046117851965,244.27,"tail"
