"score","method","prop_k","dataset","quantile","value"
"brier",1,40,1,0.9,0.0873418535545454
"brier",1,40,1,0.91,0.0785517577136364
"brier",1,40,1,0.92,0.0698351841272727
"brier",1,40,1,0.93,0.0631954377727273
"brier",1,40,1,0.94,0.0539086053545455
"brier",1,40,1,0.95,0.0453862647909091
"brier",1,40,1,0.96,0.0366339520909091
"brier",1,40,1,0.97,0.0293439356454545
"brier",1,40,1,0.98,0.0199202269136364
"brier",1,40,1,0.99,0.0113636363772727
"brier",1,40,1,0.995,0.00500000000454545
"brier",1,40,2,0.9,0.0976415232090909
"brier",1,40,2,0.91,0.0859925809136364
"brier",1,40,2,0.92,0.0725360668318182
"brier",1,40,2,0.93,0.0614610395772727
"brier",1,40,2,0.94,0.0565688910545455
"brier",1,40,2,0.95,0.0492511245863636
"brier",1,40,2,0.96,0.0378915705272727
"brier",1,40,2,0.97,0.0293380138863636
"brier",1,40,2,0.98,0.0190358171318182
"brier",1,40,2,0.99,0.0104483724
"brier",1,40,2,0.995,0.00499954562272727
"brier",1,40,3,0.9,0.0883766252045455
"brier",1,40,3,0.91,0.0792134592045454
"brier",1,40,3,0.92,0.0705209525681818
"brier",1,40,3,0.93,0.0600922498
"brier",1,40,3,0.94,0.0510744735272727
"brier",1,40,3,0.95,0.0424307727
"brier",1,40,3,0.96,0.0349199936681818
"brier",1,40,3,0.97,0.0278109990772727
"brier",1,40,3,0.98,0.0169793876318182
"brier",1,40,3,0.99,0.00860481691818182
"brier",1,40,3,0.995,0.00363176560454545
"brier",1,40,4,0.9,0.08820699035
"brier",1,40,4,0.91,0.0795737246
"brier",1,40,4,0.92,0.0731668189772727
"brier",1,40,4,0.93,0.0658253166272727
"brier",1,40,4,0.94,0.0591360426136364
"brier",1,40,4,0.95,0.0498545669590909
"brier",1,40,4,0.96,0.0427845126727273
"brier",1,40,4,0.97,0.0332245154363636
"brier",1,40,4,0.98,0.0211627870318182
"brier",1,40,4,0.99,0.0121736433181818
"brier",1,40,4,0.995,0.00723398564545455
"brier",1,40,5,0.9,0.0941139235318182
"brier",1,40,5,0.91,0.0850193119681818
"brier",1,40,5,0.92,0.0753777877545455
"brier",1,40,5,0.93,0.0657838565909091
"brier",1,40,5,0.94,0.0545333653590909
"brier",1,40,5,0.95,0.0472514027681818
"brier",1,40,5,0.96,0.0375895608318182
"brier",1,40,5,0.97,0.0298879200318182
"brier",1,40,5,0.98,0.0213484050181818
"brier",1,40,5,0.99,0.0127265460818182
"brier",1,40,5,0.995,0.00590909095909091
"brier",1,40,6,0.9,0.0845564460045455
"brier",1,40,6,0.91,0.0789040993590909
"brier",1,40,6,0.92,0.0703201550181818
"brier",1,40,6,0.93,0.0608538249681818
"brier",1,40,6,0.94,0.0529299205909091
"brier",1,40,6,0.95,0.0469290019090909
"brier",1,40,6,0.96,0.0396561855636364
"brier",1,40,6,0.97,0.0282580794590909
"brier",1,40,6,0.98,0.0213908215772727
"brier",1,40,6,0.99,0.0122153837136364
"brier",1,40,6,0.995,0.00491131821363636
"brier",1,40,7,0.9,0.0827957617545454
"brier",1,40,7,0.91,0.0773334962772727
"brier",1,40,7,0.92,0.0723595616227273
"brier",1,40,7,0.93,0.0656160293590909
"brier",1,40,7,0.94,0.0582273135545455
"brier",1,40,7,0.95,0.0494394559136364
"brier",1,40,7,0.96,0.0407535183681818
"brier",1,40,7,0.97,0.0312229446863636
"brier",1,40,7,0.98,0.0175460903590909
"brier",1,40,7,0.99,0.00905994331363636
"brier",1,40,7,0.995,0.00453996437272727
"brier",1,40,8,0.9,0.0883891970363636
"brier",1,40,8,0.91,0.0825205225318182
"brier",1,40,8,0.92,0.0740300852363636
"brier",1,40,8,0.93,0.0667060487590909
"brier",1,40,8,0.94,0.0567689893590909
"brier",1,40,8,0.95,0.0484178184272727
"brier",1,40,8,0.96,0.0371199352
"brier",1,40,8,0.97,0.0273339266363636
"brier",1,40,8,0.98,0.0168460590636364
"brier",1,40,8,0.99,0.0116831510454545
"brier",1,40,8,0.995,0.00726291634545455
"brier",1,40,9,0.9,0.0920444354363636
"brier",1,40,9,0.91,0.0842813664545455
"brier",1,40,9,0.92,0.07715884705
"brier",1,40,9,0.93,0.0682148986545455
"brier",1,40,9,0.94,0.0598896298681818
"brier",1,40,9,0.95,0.0486451920272727
"brier",1,40,9,0.96,0.0385638416227273
"brier",1,40,9,0.97,0.0318166890454545
"brier",1,40,9,0.98,0.0212762499272727
"brier",1,40,9,0.99,0.00863375164545455
"brier",1,40,9,0.995,0.00363591221818182
"brier",1,40,10,0.9,0.0869311621136364
"brier",1,40,10,0.91,0.0756023343181818
"brier",1,40,10,0.92,0.0680842374181818
"brier",1,40,10,0.93,0.0579995678136364
"brier",1,40,10,0.94,0.0528459293954545
"brier",1,40,10,0.95,0.0472449380181818
"brier",1,40,10,0.96,0.0401781905863636
"brier",1,40,10,0.97,0.0305765473818182
"brier",1,40,10,0.98,0.0208655851772727
