"score","method","prop_k","quantile","mean","median"
"brier",1,40,0.9,0.0919661671563636,0.0892077331772727
"brier",1,40,0.91,0.0840762469527273,0.0811866022477273
"brier",1,40,0.92,0.0759336830581818,0.0737927755704545
"brier",1,40,0.93,0.06730075426,0.0661092990022727
"brier",1,40,0.94,0.0585969857690909,0.0581288820340909
"brier",1,40,0.95,0.0486790275086364,0.0481246984568182
"brier",1,40,0.96,0.0388107830190909,0.038774017475
"brier",1,40,0.97,0.0297518800236364,0.029646158575
"brier",1,40,0.98,0.0198411569045455,0.0201011965454545
"brier",1,40,0.99,0.0100439449913636,0.00999959204090909
"brier",1,40,0.995,0.00476556323636364,0.00476723694545455
"brier",2,40,0.9,0.03130245276,0.0288370953386364
"brier",2,40,0.91,0.0291713380590909,0.0259224911181818
"brier",2,40,0.92,0.0270000345463636,0.0240014396340909
"brier",2,40,0.93,0.0243946697827273,0.0216673597386364
"brier",2,40,0.94,0.0219825236604545,0.0186379608045455
"brier",2,40,0.95,0.0194748473913636,0.0175044086613636
"brier",2,40,0.96,0.0165908751495455,0.0156843782204545
"brier",2,40,0.97,0.0136684471027273,0.0159414568727273
"brier",2,40,0.98,0.0100964504,0.0107697540909091
"brier",2,40,0.99,0.00648230518863636,0.007021691125
"brier",2,40,0.995,0.00361881395545455,0.00392420184090909
"brier",3,40,0.9,0.0512156171481818,0.0511635561772727
"brier",3,40,0.91,0.047800474505,0.0474217815227273
"brier",3,40,0.92,0.0438093863195455,0.0428733683795455
"brier",3,40,0.93,0.0392757234322727,0.0392212338113636
"brier",3,40,0.94,0.0348443851031818,0.0350435379477273
"brier",3,40,0.95,0.0296352765372727,0.0291969285318182
"brier",3,40,0.96,0.0243184093009091,0.0240840359386364
"brier",3,40,0.97,0.0191207404963636,0.0189650398613636
"brier",3,40,0.98,0.0131758194581818,0.0127365506022727
"brier",3,40,0.99,0.00760850492,0.00728598610227273
"brier",3,40,0.995,0.00407539254727273,0.00433599595227273
"brier",4,40,0.9,0.0304501549586364,0.026351814525
"brier",4,40,0.91,0.0283439758231818,0.0233493452772727
"brier",4,40,0.92,0.0259309616945455,0.0209223246
"brier",4,40,0.93,0.0237851904313636,0.0181669825022727
"brier",4,40,0.94,0.0218021549127273,0.0162236166068182
"brier",4,40,0.95,0.0192505927827273,0.0135356706181818
"brier",4,40,0.96,0.0164058108481818,0.0108534353431818
"brier",4,40,0.97,0.0139207210654545,0.0104348662886364
"brier",4,40,0.98,0.010308680355,0.00925738098409091
"brier",4,40,0.99,0.00714714199818182,0.00545358551590909
"brier",4,40,0.995,0.00440806214863636,0.00293271099318182
"brier",5,40,0.9,0.0502091703172727,0.0509804336272727
"brier",5,40,0.91,0.0468158056818182,0.04728109115
"brier",5,40,0.92,0.0431314841868182,0.0426306225113636
"brier",5,40,0.93,0.0388514070409091,0.0382264523772727
"brier",5,40,0.94,0.0346041230127273,0.03449698655
"brier",5,40,0.95,0.0294149812618182,0.0286750755409091
"brier",5,40,0.96,0.0242391098718182,0.0236186680340909
"brier",5,40,0.97,0.0190655730995455,0.0188784175681818
"brier",5,40,0.98,0.0131680613104545,0.0126585171477273
"brier",5,40,0.99,0.00759060070181818,0.007219052975
"brier",5,40,0.995,0.00401925397818182,0.00427128019545455
"quant",1,40,0.9,2.70259086378303,2.6889098225595
"quant",1,40,0.91,2.55457193675649,2.54120319781792
"quant",1,40,0.92,2.39588835076245,2.38195809075134
"quant",1,40,0.93,2.22490258794002,2.20973908755158
"quant",1,40,0.94,2.03978885464077,2.022611727757
"quant",1,40,0.95,1.83842953301145,1.81827529566563
"quant",1,40,0.96,1.61740113456644,1.59221162093014
"quant",1,40,0.97,1.37124183182781,1.3369256252744
"quant",1,40,0.98,1.09150757736419,1.02066104698619
"quant",1,40,0.99,0.756523376439134,0.632280009115804
"quant",1,40,0.995,0.546807137036954,0.394726351518431
"quant",2,40,0.9,2.64694382605968,2.73651627356725
"quant",2,40,0.91,2.51379319037119,2.59785314344452
"quant",2,40,0.92,2.36824742693869,2.44427022249649
"quant",2,40,0.93,2.20881901447523,2.27423694124802
"quant",2,40,0.94,2.03297736414741,2.08547320982768
"quant",2,40,0.95,1.83902111159326,1.87182471945564
"quant",2,40,0.96,1.61976147379333,1.61168767137004
"quant",2,40,0.97,1.36261369586357,1.31293749392409
"quant",2,40,0.98,1.0403806412397,0.918982244514065
"quant",2,40,0.99,0.665722597814835,0.469901055276161
"quant",2,40,0.995,0.379039246322951,0.279276913215386
"quant",3,40,0.9,2.79548613205689,2.84641112299088
"quant",3,40,0.91,2.66366753761606,2.72958194254685
"quant",3,40,0.92,2.51487486272329,2.59742744839352
"quant",3,40,0.93,2.34743408197467,2.44539152775075
"quant",3,40,0.94,2.16051655850289,2.26981103865063
"quant",3,40,0.95,1.95014592407449,2.05579526462868
"quant",3,40,0.96,1.70886204948352,1.7832512083659
"quant",3,40,0.97,1.42072768978861,1.41163630173179
"quant",3,40,0.98,1.07468035330256,0.933705083997111
"quant",3,40,0.99,0.658470780548877,0.480061051786201
"quant",3,40,0.995,0.345886066111291,0.269616321242039
"quant",4,40,0.9,2.65633639055622,2.67001674750077
"quant",4,40,0.91,2.51780554961001,2.52221972492736
"quant",4,40,0.92,2.3669423550678,2.35448121951624
"quant",4,40,0.93,2.20289359260033,2.16813047486516
"quant",4,40,0.94,2.02308590066799,1.96488419059171
"quant",4,40,0.95,1.82382129291787,1.73847820781027
"quant",4,40,0.96,1.59935031129094,1.51044525491056
"quant",4,40,0.97,1.34113405731385,1.23767771031117
"quant",4,40,0.98,1.03802707965448,0.93300869243035
"quant",4,40,0.99,0.586687109076541,0.523599365464313
"quant",4,40,0.995,0.328877218439679,0.280937055378337
"quant",5,40,0.9,2.76966937290505,2.8335462733853
"quant",5,40,0.91,2.63963517397004,2.72084627642632
"quant",5,40,0.92,2.49379599097449,2.59097147005813
"quant",5,40,0.93,2.33131842419634,2.43916462795724
"quant",5,40,0.94,2.15058881192013,2.26310439717424
"quant",5,40,0.95,1.94783343357354,2.05717559768989
