"score","method","prop_k","quantile","mean","median"
"brier",1,10,0.9,0.0902674581255455,0.0908139767818182
"brier",1,10,0.91,0.0820688422847273,0.081937231125
"brier",1,10,0.92,0.0737715260833636,0.0733906357431818
"brier",1,10,0.93,0.0653525594232727,0.0652478530772727
"brier",1,10,0.94,0.0567543601345455,0.0564060465363636
"brier",1,10,0.95,0.0479936720543636,0.0479564947931818
"brier",1,10,0.96,0.0386414382049091,0.0390358714590909
"brier",1,10,0.97,0.0291682893563636,0.0291182223477273
"brier",1,10,0.98,0.0198067948762727,0.0198010566727273
"brier",1,10,0.99,0.00975968219318182,0.00996927842954545
"brier",1,10,0.995,0.00489728656918182,0.00497558282045455
"brier",2,10,0.9,0.0335639023691818,0.0328238630795455
"brier",2,10,0.91,0.0310453160444545,0.0305023276772727
"brier",2,10,0.92,0.0285488355148182,0.0282016600818182
"brier",2,10,0.93,0.026014641497,0.0253884975863636
"brier",2,10,0.94,0.0231685364290909,0.0228411176545455
"brier",2,10,0.95,0.0201415604929091,0.0201058893318182
"brier",2,10,0.96,0.0168297444792727,0.0156786929954545
"brier",2,10,0.97,0.0134378680067273,0.0131224266227273
"brier",2,10,0.98,0.00965513910045455,0.00992997877727273
"brier",2,10,0.99,0.00658493513854545,0.00631750617954545
"brier",2,10,0.995,0.00395579452118182,0.00392687244090909
"brier",3,10,0.9,0.0572437549635455,0.0571181564886364
"brier",3,10,0.91,0.0526994383422727,0.0527553611977273
"brier",3,10,0.92,0.047932463458,0.04744529065
"brier",3,10,0.93,0.0429893960306364,0.0425190175659091
"brier",3,10,0.94,0.0377011392828182,0.0381903626659091
"brier",3,10,0.95,0.0322435412821818,0.0320543233090909
"brier",3,10,0.96,0.0262867546885455,0.0257354163181818
"brier",3,10,0.97,0.020210573995,0.0197529799272727
"brier",3,10,0.98,0.0141195107766364,0.0136179644272727
"brier",3,10,0.99,0.00776731587654545,0.00756177576136364
"brier",3,10,0.995,0.00421342065336364,0.00407869773863636
"brier",4,10,0.9,0.0320724034469091,0.0317571973454545
"brier",4,10,0.91,0.029615623138,0.0295071872386364
"brier",4,10,0.92,0.0271551966770909,0.027082959625
"brier",4,10,0.93,0.024739166925,0.0239631193840909
