"score","method","prop_k","quantile","rel_mean","rel_median"
"brier",1,40,0.9,1,1
"brier",1,40,0.91,1,1
"brier",1,40,0.92,1,1
"brier",1,40,0.93,1,1
"brier",1,40,0.94,1,1
"brier",1,40,0.95,1,1
"brier",1,40,0.96,1,1
"brier",1,40,0.97,1,1
"brier",1,40,0.98,1,1
"brier",1,40,0.99,1,1
"brier",1,40,0.995,1,1
"brier",2,40,0.9,0.387188962118063,0.294715688244778
"brier",2,40,0.91,0.392818789440468,0.32104989152723
"brier",2,40,0.92,0.403962895189891,0.341337351834643
"brier",2,40,0.93,0.419384949558799,0.378478841414163
"brier",2,40,0.94,0.438586830905998,0.41920469994991
"brier",2,40,0.95,0.443275172908177,0.404376617381553
"brier",2,40,0.96,0.442880539172888,0.449692791481948
"brier",2,40,0.97,0.485704168436188,0.484897988111158
"brier",2,40,0.98,0.539425441182808,0.581684309659438
"brier",2,40,0.99,0.609117662131821,0.62351824474843
"brier",2,40,0.995,0.736692538759217,0.808503496648424
"brier",3,40,0.9,0.555335141605554,0.554723761275249
"brier",3,40,0.91,0.565116081944036,0.572321517104813
"brier",3,40,0.92,0.579215353128309,0.587732748701102
"brier",3,40,0.93,0.58962001710508,0.599136988134514
"brier",3,40,0.94,0.603146987841924,0.619433746799539
"brier",3,40,0.95,0.609772140330961,0.611348432186699
"brier",3,40,0.96,0.61655963780401,0.625998641555352
"brier",3,40,0.97,0.639177756584492,0.640012031197971
"brier",3,40,0.98,0.659242695413575,0.632001540740773
"brier",3,40,0.99,0.718340103457178,0.6785636553735
"brier",3,40,0.995,0.806538220371243,0.837840295996213
"brier",4,40,0.9,0.214066191148377,0.202080491966838
"brier",4,40,0.91,0.217044426362002,0.195327436970866
"brier",4,40,0.92,0.220566983955495,0.208148427055281
"brier",4,40,0.93,0.237506983335327,0.225132953471348
"brier",4,40,0.94,0.261750174990985,0.249058386984578
"brier",4,40,0.95,0.274865905767605,0.24902150691287
"brier",4,40,0.96,0.284456360974091,0.29087358330923
"brier",4,40,0.97,0.332531082216759,0.333339323941671
"brier",4,40,0.98,0.388661319714854,0.347364999807096
"brier",4,40,0.99,0.456765351280456,0.403168697758038
"brier",4,40,0.995,0.603873304581705,0.646292558953081
