"score","method","prop_k","quantile","rel_mean","rel_median"
"brier",1,10,0.9,1,1
"brier",1,10,0.91,1,1
"brier",1,10,0.92,1,1
"brier",1,10,0.93,1,1
"brier",1,10,0.94,1,1
"brier",1,10,0.95,1,1
"brier",1,10,0.96,1,1
"brier",1,10,0.97,1,1
"brier",1,10,0.98,1,1
"brier",1,10,0.99,1,1
"brier",1,10,0.995,1,1
"brier",2,10,0.9,0.371827268277573,0.361440653110096
"brier",2,10,0.91,0.378283830747202,0.372264564697575
"brier",2,10,0.92,0.386989900175812,0.384267826490905
"brier",2,10,0.93,0.398066146553029,0.389108551300472
"brier",2,10,0.94,0.408224784389536,0.404940942631396
"brier",2,10,0.95,0.419671169776179,0.419252687639646
"brier",2,10,0.96,0.435536182427461,0.401648340600917
"brier",2,10,0.97,0.460701271937826,0.450660293269981
"brier",2,10,0.98,0.487466001479158,0.501487316631423
"brier",2,10,0.99,0.674707947267559,0.633697435997231
"brier",2,10,0.995,0.807752306363952,0.789228635641593
"brier",3,10,0.9,0.634157160866654,0.62895777184016
"brier",3,10,0.91,0.642136977629571,0.643850914576866
"brier",3,10,0.92,0.649742061779163,0.646476081989899
"brier",3,10,0.93,0.657807382144048,0.651653894505219
"brier",3,10,0.94,0.664286218599619,0.677061503349444
"brier",3,10,0.95,0.671829012075983,0.668404216098967
"brier",3,10,0.96,0.680273714170554,0.659276080083218
"brier",3,10,0.97,0.692895416254182,0.678371766359373
"brier",3,10,0.98,0.712861968068879,0.687739278380494
"brier",3,10,0.99,0.795857459577091,0.758507831314369
"brier",3,10,0.995,0.860358199146097,0.819742708707189
"brier",4,10,0.9,0.355304160689916,0.34969504112513
"brier",4,10,0.91,0.360863176737067,0.360119408887779
"brier",4,10,0.92,0.368098616346975,0.369024731162873
"brier",4,10,0.93,0.378549319924418,0.367262955850999
"brier",4,10,0.94,0.385396249719627,0.389673707747127
"brier",4,10,0.95,0.392869782924079,0.397134982405279
"brier",4,10,0.96,0.40340032817463,0.38317178114314
"brier",4,10,0.97,0.424474033866841,0.41720113909242
"brier",4,10,0.98,0.455900433638972,0.474981268837097
"brier",4,10,0.99,0.6511985453308,0.608349814122102
"brier",4,10,0.995,0.792367641271776,0.720465712678015
"brier",5,10,0.9,0.619659274162235,0.616249025595774
"brier",5,10,0.91,0.629169772700693,0.63601574689253
"brier",5,10,0.92,0.638004148587516,0.63606405256199
"brier",5,10,0.93,0.647399633199461,0.642170534790213
"brier",5,10,0.94,0.654819377801374,0.671945930930749
"brier",5,10,0.95,0.663354959727936,0.659754451026994
"brier",5,10,0.96,0.672235850110821,0.649534293365598
"brier",5,10,0.97,0.68508459982149,0.675306855623856
"brier",5,10,0.98,0.705902515873207,0.686708066540218
"brier",5,10,0.99,0.788724183850188,0.758095807558137
"brier",5,10,0.995,0.852668792422443,0.80404111735579
"brier",1,20,0.9,1,1
"brier",1,20,0.91,1,1
"brier",1,20,0.92,1,1
"brier",1,20,0.93,1,1
"brier",1,20,0.94,1,1
"brier",1,20,0.95,1,1
"brier",1,20,0.96,1,1
"brier",1,20,0.97,1,1
"brier",1,20,0.98,1,1
"brier",1,20,0.99,1,1
"brier",1,20,0.995,1,1
"brier",2,20,0.9,0.353456102115751,0.348146516216582
"brier",2,20,0.91,0.359027157845241,0.362448599680683
"brier",2,20,0.92,0.367307655897037,0.366411220437987
"brier",2,20,0.93,0.379688926951793,0.37828146482911
"brier",2,20,0.94,0.389182499333022,0.38756750114211
"brier",2,20,0.95,0.398648883437727,0.399904714960278
"brier",2,20,0.96,0.413201916220993,0.392268255921683
"brier",2,20,0.97,0.434934985651637,0.43024715711045
"brier",2,20,0.98,0.458774524984464,0.48989979698012
"brier",2,20,0.99,0.643551873070578,0.603099933494788
"brier",2,20,0.995,0.780155230471845,0.724958050186866
"brier",3,20,0.9,0.620085028988325,0.616630580307242
"brier",3,20,0.91,0.628327058993809,0.633922508015054
"brier",3,20,0.92,0.636112295671973,0.635717274739623
"brier",3,20,0.93,0.644624459900679,0.647689846193
"brier",3,20,0.94,0.651237349579217,0.667496325403904
"brier",3,20,0.95,0.658957513636378,0.659024095396147
"brier",3,20,0.96,0.667760534613746,0.649354903196085
"brier",3,20,0.97,0.679438364773521,0.669998320835711
"brier",3,20,0.98,0.699751883068457,0.674744865060435
"brier",3,20,0.99,0.784176729283695,0.748442400942809
"brier",3,20,0.995,0.8533607727729,0.814785020931204
"brier",4,20,0.9,0.34708697701084,0.342610942895669
