"setting","method","dataset","attempt","seed","pass","a","b","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
6,1,1,0,1601,TRUE,2.71377,5.51924728638424,2.79517046404751,9.79423590853096,1.3482214149109,1.32139639563952,1.02030050888582,1.22061717929454,NA,NA,NA,NA,4.10461207780067,4.10461207780067,13.5627445864862,13.5453007332457,TRUE,TRUE,TRUE,TRUE
6,2,1,2,18439,TRUE,2.73707,5.56451199548199,3.17676833239326,9.8036177003204,1.1929756281218,1.31979701443689,0.903908415515549,1.08444027902868,0.641450088519335,-0.223915425810916,0.395074427628584,-0.039984688635853,4.57036632215416,4.79878727345979,13.5934248970547,13.5453007332457,TRUE,TRUE,TRUE,TRUE
6,1,2,1,9521,FALSE,1.61086,7.96144822405745,4.23121944009861,12.2964140472509,2.51685739482449,2.32094076966061,1.08441259153396,0.986535377766622,NA,NA,NA,NA,12.9183865659801,20.1861790863564,22.9457899841882,22.8320623491947,TRUE,TRUE,TRUE,FALSE
6,2,2,3,26359,FALSE,1.62911,8.09331542074979,4.28738298531635,11.6841851393969,2.6337747242333,2.32200532145968,1.13426730761221,0.973447587013648,0.369102919046854,0.0605765840837807,0.348902251223679,0.00127703841732768,7.32413394671429,15.303117439337,22.976186079231,22.8320623491947,TRUE,TRUE,TRUE,FALSE
6,1,3,0,1603,TRUE,4.04393,7.17112040293412,2.4216600444984,10.6193158395316,1.30032483306842,1.15431270158371,1.12649270105439,1.11048948979885,NA,NA,NA,NA,2.92047006453151,2.92047006453151,13.7682605326424,13.7294192108781,TRUE,TRUE,TRUE,TRUE
6,2,3,0,2603,TRUE,4.08558,7.23520946164085,2.62965947675747,10.4771980315488,1.2712694242808,1.15115149308242,1.10434589358586,1.04447556432752,0.214606742779344,0.196554162517117,0.37888674855115,0.160405503840946,3.29800764306512,3.37667085154619,13.8202037206208,13.7294192108781,TRUE,TRUE,TRUE,TRUE
6,1,4,0,1604,TRUE,2.777985,9.11328640048353,3.05943397756897,9.80380304236941,1.82827328764479,1.65309311191377,1.10597114855086,1.12280611223016,NA,NA,NA,NA,5.17056551748628,6.51540573485398,15.3972844588716,15.4648119110252,TRUE,TRUE,TRUE,TRUE
6,2,4,0,2604,TRUE,2.78877,9.15494413010284,3.73474009322508,9.67163277407759,1.57908591262952,1.65149540906859,0.956155193625449,0.951213972896647,0.583570209525615,0.0882127115104157,0.231159040525391,0.264479813455411,6.79318132036164,7.25571519522364,15.569108242622,15.4648119110252,TRUE,TRUE,TRUE,TRUE
6,1,5,0,1605,TRUE,1.66185,6.07227588082735,1.47533647962012,9.77589143057816,1.88760331850651,1.96195391940876,0.962103798582255,1.22019283121674,NA,NA,NA,NA,4.75949852610898,5.92470720032083,12.5607414654228,12.7488927788978,TRUE,TRUE,TRUE,TRUE
6,2,5,0,2605,TRUE,1.64729,5.99252980932629,1.66836513973545,9.74619861106964,1.71517808207924,1.95976829644423,0.875194320262877,1.09270753713274,0.187516010025951,0.106118904863858,0.344948814129016,0.31698339870906,5.7254292837101,6.12796330922969,12.6077419316489,12.7488927788978,TRUE,TRUE,TRUE,TRUE
