"setting","method","dataset","attempt","seed","pass","a","b","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
4,1,1,0,1401,TRUE,1.96505,5.17102336811455,2.70000120843483,10.4570571442777,1.47780960620717,1.61047012537377,0.917626215428364,0.917419558687847,NA,NA,NA,NA,5.52777857474511,5.52777857474511,14.4471448668736,14.4064076548202,TRUE,TRUE,TRUE,TRUE
4,2,1,0,2401,TRUE,1.95008,5.11104696479012,3.04906355561703,10.3023695734073,1.40461287698407,1.60814870076493,0.873434699363283,0.845687403057668,0.556087714823829,0.0793392401038807,0.953172496373258,-0.410232360120576,3.74190316231014,6.73822203550672,14.5851235063699,14.4064076548202,TRUE,TRUE,TRUE,TRUE
4,1,2,0,1402,TRUE,2.801715,7.40825526006404,2.61353468095873,10.3298379274625,1.5456951857719,1.48439734672532,1.04129476462741,0.931911916371692,NA,NA,NA,NA,4.13528803822039,4.32322784272454,14.3695659016683,14.3960272650987,TRUE,TRUE,TRUE,TRUE
4,2,2,0,2402,TRUE,2.79368,7.39229735354128,2.652581740097,10.0961531167632,1.61294771667179,1.48357921459056,1.08720026595745,0.928778315693296,0.673565997425795,-0.257259771133938,0.650246839478979,-0.330929766358247,3.49886530461936,4.5376555647303,14.3746287777379,14.3960272650987,TRUE,TRUE,TRUE,TRUE
4,1,3,0,1403,TRUE,2.989965,7.51759404129928,3.44682385928373,10.0532415299434,1.3669181613527,1.43418029856839,0.953100640635746,1.23439349558811,NA,NA,NA,NA,5.07640934069506,5.15110772470276,14.7647676621821,14.854857594016,TRUE,TRUE,TRUE,TRUE
4,2,3,0,2403,TRUE,3.011695,7.62998223818633,3.35375787134907,10.0288944127594,1.44742022005683,1.43826797778351,1.0063633776283,1.30059199959629,0.745707888186098,-0.371979185772977,0.407825584907653,-0.0132645373006532,3.18795467160286,5.2184269328008,14.8831913689248,14.854857594016,TRUE,TRUE,TRUE,TRUE
4,1,4,0,1404,TRUE,2.93229,7.45394246107053,2.14373552084072,9.96032791036998,1.3805774768784,1.45070480196775,0.951659824249409,1.00287112098563,NA,NA,NA,NA,3.47741483444624,3.63696807471123,12.9199208868269,12.8257512131547,TRUE,TRUE,TRUE,TRUE
4,2,4,1,10323,TRUE,2.971385,7.59861743917643,2.1928464363701,9.92460062393797,1.37675293931038,1.45291512830623,0.947579739854012,0.991014833545514,0.53518552160812,-0.203932837718768,0.646662604436237,-0.210382104932765,2.51932982628803,3.70803227829453,12.9436084006668,12.8257512131547,TRUE,TRUE,TRUE,TRUE
4,1,5,1,9324,TRUE,2.84142,7.02193119992592,3.5167003249936,9.85659610745259,1.50667313744355,1.43273478675218,1.05160644619998,1.05624466593274,NA,NA,NA,NA,5.08232614050054,5.33832808801943,15.1551140195595,15.2043301527245,TRUE,TRUE,TRUE,TRUE
4,2,5,1,10324,TRUE,2.83664,7.03766014138292,3.93412674844198,9.44693450261958,1.51188063319219,1.43525005512591,1.05339179594009,0.992735911931242,0.79372151756684,-0.226414060085978,0.992510439817309,-0.471327769001586,2.57528480331444,5.97325756533285,15.3948645421124,15.2043301527245,TRUE,TRUE,TRUE,TRUE
4,1,6,0,1406,TRUE,1.509835,3.85815370267085,2.84014962598637,9.90342242152166,1.74790806314847,1.69299807215176,1.03243358152612,1.03010203627705,NA,NA,NA,NA,6.88646751942954,8.4793251471026,14.8677428533313,14.7828848863509,TRUE,TRUE,TRUE,TRUE
4,2,6,2,18244,TRUE,1.512795,3.83109105881578,2.8602794985646,9.73094532097373,1.79317964119186,1.68413382113682,1.06474890456237,1.03307330617181,0.677831969574601,-0.165963876067349,0.756285527091671,-0.301411586722143,4.77234910210357,8.66099833494737,14.8599402859182,14.7828848863509,TRUE,TRUE,TRUE,TRUE
4,1,7,0,1407,TRUE,2.22322,6.35089855954453,2.63097899116981,10.4856626032663,1.59038306844063,1.60994999442381,0.987846252336435,1.35277851866062,NA,NA,NA,NA,4.89397396795019,5.25264372150301,14.6699270442458,14.6176945136545,TRUE,TRUE,TRUE,TRUE
