"setting","prob","n","gap_lead1to5","t_p_1to5","gap_lead1to15","t_p_1to15"
4,0.9,10,-0.00119607931527778,0.351748712595404,-0.000698678510648153,0.371680373573788
4,0.92,10,-0.000445219645833335,0.431661393201725,-0.000265614281018514,0.444625464466341
4,0.94,10,-1.8522954166664e-05,0.496506783064674,-6.09265328703708e-05,0.48461097052995
4,0.95,10,0.000412730016666665,0.5799174914331,0.000166131846296295,0.54594862846873
4,0.96,10,0.000672838130555558,0.637178754981,0.000319020550925926,0.597391153649555
4,0.98,10,0.000841275324999999,0.706956802106412,0.000563939278703704,0.706701635349111
4,0.99,10,0.00121341687916667,0.77957158683496,0.000715219981481481,0.816539858182948
5,0.9,8,-0.00851234294097223,0.235473082658742,-0.0107844576516204,0.0705906213131869
5,0.92,8,-0.00729169284548611,0.246278866106466,-0.00962162387037037,0.088134685160796
5,0.94,8,-0.00689843328298611,0.249803559386046,-0.00858043285300926,0.112935234696088
5,0.95,8,-0.00709328505208333,0.232066087183529,-0.00810620158969907,0.119340168380037
5,0.96,8,-0.006544594,0.23910586643562,-0.00744168454398148,0.132253504051568
5,0.98,8,-0.00409283920486111,0.269171640114532,-0.00515493726967593,0.160065813306445
5,0.99,8,-0.00350468352083333,0.263630973943786,-0.00421544305497685,0.171924628765769
