"setting","desc","leads","contrast","n","Delta","CI_lo","CI_hi","t_p_2sided","wilcox_p_1sided"
5,"near-unit-root","1-5","AR(1) - iid",10,-0.143514564376359,-0.337139326197925,0.0501101974452062,0.12791448935748,0.0631394642773489
5,"near-unit-root","1-5","AR(2) - iid",10,-0.804491630391946,-1.71813363325075,0.109150372466853,0.0775583927755864,0.0263935003161123
5,"near-unit-root","1-5","AR(2) - AR(1)",10,-0.660977066015587,-1.52819473202498,0.206240599993804,0.118765738338263,0.0332728606718581
5,"near-unit-root","1-15","AR(1) - iid",10,-0.0466467104464078,-0.141509564922896,0.0482161440300804,0.294809268648657,0.179475717926313
5,"near-unit-root","1-15","AR(2) - iid",10,-0.444033499057347,-1.08687694756753,0.198809949452836,0.152594926814165,0.041565571350402
5,"near-unit-root","1-15","AR(2) - AR(1)",10,-0.397386788610939,-1.02874229682295,0.233968719601073,0.188223919572214,0.0207455436938658
7,"ARFIMA d=0.45","1-5","AR(1) - iid",10,-0.258839799544857,-0.564090182248102,0.0464105831583867,0.0873055482201949,0.131096301203387
7,"ARFIMA d=0.45","1-5","AR(2) - iid",10,-0.363520456171479,-0.773873344408323,0.0468324320653654,0.076062675584357,0.0514587697014265
7,"ARFIMA d=0.45","1-5","AR(2) - AR(1)",10,-0.104680656626621,-0.260414975626832,0.05105366237359,0.162692255808187,0.110635907836235
7,"ARFIMA d=0.45","1-15","AR(1) - iid",10,-0.0357132040749334,-0.23113433761521,0.159707929465343,0.688983471834863,0.459406341637321
7,"ARFIMA d=0.45","1-15","AR(2) - iid",10,-0.0833196670676751,-0.390525633094376,0.223886298959026,0.554708895195976,0.540593658362679
7,"ARFIMA d=0.45","1-15","AR(2) - AR(1)",10,-0.0476064629927417,-0.360324452959133,0.265111526973649,0.738471819619166,0.658259548899287
