"setting","desc","leads","contrast","n","Delta","CI_lo","CI_hi","t_p_2sided","wilcox_p_1sided"
5,"near-unit-root","1-5","AR(1) - iid",10,-0.00291711595542923,-0.00788418228758769,0.00204995037672923,0.216697372677427,0.110635907836235
5,"near-unit-root","1-5","AR(2) - iid",10,-0.00221356876688228,-0.0295557631143806,0.0251286255806161,0.858747728470407,0.459406341637321
5,"near-unit-root","1-5","AR(2) - AR(1)",10,0.000703547188546954,-0.0250304829657955,0.0264375773428894,0.952037533841603,0.459406341637321
5,"near-unit-root","1-15","AR(1) - iid",10,0.00369035274679896,-0.00460219685384897,0.0119829023474469,0.340373678640376,0.419231890961232
5,"near-unit-root","1-15","AR(2) - iid",10,-0.00210522446444769,-0.0128245841603459,0.00861413523145055,0.667334004970455,0.620117087010967
5,"near-unit-root","1-15","AR(2) - AR(1)",10,-0.00579557721124664,-0.0182333352997228,0.00664218087722955,0.319317029137924,0.379882912989033
7,"ARFIMA d=0.45","1-5","AR(1) - iid",10,-0.0129176525181533,-0.0519876712545902,0.0261523662182836,0.473590013728946,0.540593658362679
7,"ARFIMA d=0.45","1-5","AR(2) - iid",10,-0.021583551132712,-0.098197213255852,0.055030110990428,0.539805008411719,0.729591047878691
7,"ARFIMA d=0.45","1-5","AR(2) - AR(1)",10,-0.00866589861455864,-0.046419096310558,0.0290872990814408,0.616108016783473,0.868903698796613
7,"ARFIMA d=0.45","1-15","AR(1) - iid",10,-0.0110980576304204,-0.0405490363302807,0.0183529210694398,0.41607084710975,0.459406341637321
7,"ARFIMA d=0.45","1-15","AR(2) - iid",10,-0.0136185233902653,-0.0802296262419429,0.0529925794614122,0.654704887173605,0.580768109038768
7,"ARFIMA d=0.45","1-15","AR(2) - AR(1)",10,-0.00252046575984488,-0.041385600675947,0.0363446691562572,0.886598901699076,0.5
