"setting","rule","prob","margin","level","iid","AR1","AR2","AR1-iid","AR2-iid","AR2-AR1"
4,"per-block",0.9,"block","1",0.106016099462037,0.108603416359722,0.104950134653241,0.00258731689768518,-0.0010659648087963,-0.00365328170648148
4,"per-block",0.9,"block","2",0.102191822328241,0.109367514739815,0.106624499482407,0.00717569241157408,0.00443267715416666,-0.00274301525740742
4,"per-block",0.9,"block","3",0.0967256405240741,0.0938513009115741,0.0934662824106482,-0.0028743396125,-0.00325935811342593,-0.000385018500925927
4,"per-block",0.9,"block","4",0.0965816775296296,0.098494515225,0.098664705175463,0.00191283769537037,0.00208302764583335,0.000170189950462973
4,"per-block",0.9,"block","5",0.100096307317593,0.0996219906277778,0.101637440200926,-0.000474316689814805,0.00154113288333334,0.00201544957314814
4,"per-block",0.95,"block","1",0.0594005434884259,0.0623306022212963,0.0593229290898148,0.00293005873287037,-7.7614398611113e-05,-0.00300767313148148
4,"per-block",0.95,"block","2",0.0578194992907407,0.0638366598842593,0.0618184633518519,0.00601716059351851,0.00399896406111111,-0.0020181965324074
4,"per-block",0.95,"block","3",0.0528483696638889,0.0519431045592593,0.0518001412712963,-0.000905265104629627,-0.00104822839259259,-0.000142963287962962
4,"per-block",0.95,"block","4",0.0518838089986111,0.0539567557189815,0.0542186641263889,0.00207294672037037,0.00233485512777779,0.000261908407407412
4,"per-block",0.95,"block","5",0.0524540141875,0.0525380960574074,0.0534818060824074,8.40818699074028e-05,0.00102779189490741,0.000943710025000002
5,"per-block",0.9,"block","1",0.100513179202315,0.101043492906481,0.0917159366800926,0.000530313704166674,-0.00879724252222222,-0.00932755622638889
5,"per-block",0.9,"block","2",0.134115091478704,0.161628169428241,0.118601284195833,0.027513077949537,-0.0155138072828704,-0.0430268852324074
5,"per-block",0.9,"block","3",0.126191339185185,0.130341846188889,0.1149941103625,0.0041505070037037,-0.0111972288226852,-0.0153477358263889
5,"per-block",0.9,"block","4",0.139387485295833,0.128715994744907,0.106462819361111,-0.0106714905509259,-0.0329246659347222,-0.0222531753837963
5,"per-block",0.9,"block","5",0.174200851411574,0.164365039285185,0.145161520846296,-0.00983581212638887,-0.0290393305652778,-0.0192035184388889
5,"per-block",0.95,"block","1",0.0551434615009259,0.0562260695763889,0.0488653973884259,0.00108260807546297,-0.0062780641125,-0.00736067218796296
5,"per-block",0.95,"block","2",0.083501455287963,0.109836196459259,0.06872527055,0.0263347411712963,-0.014776184737963,-0.0411109259092593
5,"per-block",0.95,"block","3",0.0789138682953704,0.0841423809587963,0.0674834000615741,0.00522851266342593,-0.0114304682337963,-0.0166589808972222
5,"per-block",0.95,"block","4",0.0920626410356482,0.0830024611685185,0.0611342436791667,-0.00906017986712963,-0.0309283973564815,-0.0218682174893519
5,"per-block",0.95,"block","5",0.122050005625463,0.115715137316667,0.0950849375175926,-0.0063348683087963,-0.0269650681078704,-0.0206301997990741
7,"per-block",0.9,"block","1",0.10784243875463,0.109195092139352,0.0996905559791667,0.00135265338472222,-0.00815188277546297,-0.00950453616018519
7,"per-block",0.9,"block","2",0.102288061874537,0.108948421725463,0.116291285953241,0.00666035985092592,0.0140032240787037,0.00734286422777779
7,"per-block",0.9,"block","3",0.102011709079167,0.101056924363889,0.0966878868782407,-0.000954784715277782,-0.00532382220092592,-0.00436903748564814
7,"per-block",0.9,"block","4",0.0961416449662037,0.103750613574537,0.0980198956513889,0.00760896860833334,0.00187825068518518,-0.00573071792314815
7,"per-block",0.9,"block","5",0.0959421162699074,0.0977475972592593,0.100908449837963,0.00180548098935185,0.00496633356805555,0.0031608525787037
7,"per-block",0.95,"block","1",0.0637593435027778,0.0654641769148148,0.0571504893393519,0.00170483341203705,-0.00660885416342592,-0.00831368757546297
7,"per-block",0.95,"block","2",0.0563848550069444,0.063990659425463,0.0703659341231481,0.00760580441851852,0.0139810791162037,0.00637527469768519
7,"per-block",0.95,"block","3",0.0544442388222222,0.0554739906412037,0.0523165892444444,0.00102975181898148,-0.00212764957777777,-0.00315740139675925
7,"per-block",0.95,"block","4",0.0516141791810185,0.0589729419972222,0.0536300092305556,0.00735876281620371,0.00201583004953704,-0.00534293276666667
7,"per-block",0.95,"block","5",0.0514860468671296,0.0538706299759259,0.0567629698773148,0.00238458310879629,0.00527692301018518,0.00289233990138889
