"setting","dataset","method","block","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean"
4,"1","1","1",2.70982060969038,10.4417981542814,1.47690132338594,1.61037107529283,0.917118635602282,0.914626680638498,NA,NA,NA,NA,5.26116467308182,6.72212888479504,14.4439357988717,14.4064076548202
4,"2","1","1",2.6497848261223,10.3216686087851,1.53075998933404,1.4829266249599,1.03225605607791,0.922163964107855,NA,NA,NA,NA,4.31843210493353,4.52041570635807,14.3778532009576,14.3960272650987
4,"3","1","1",3.4205294567891,10.0604986713575,1.37301134255886,1.43505050928488,0.956768652863002,1.24139615117264,NA,NA,NA,NA,4.89714705724295,5.10696923791751,14.7569244130856,14.854857594016
4,"4","1","1",2.11140129082181,9.96549002761692,1.40028518669952,1.45111815446541,0.964969794079503,1.01786500047525,NA,NA,NA,NA,3.47249688236042,3.64188356061151,12.9220539783329,12.8257512131547
4,"5","1","1",3.55874745588887,9.87722781850606,1.4865570714586,1.43394497125257,1.03669045971832,1.04464045495006,NA,NA,NA,NA,5.06762239753439,5.5740713457736,15.167509014593,15.2043301527245
4,"6","1","1",2.83896114753729,9.90679159834775,1.74336180034621,1.69306374786093,1.02970830398372,1.02725394134465,NA,NA,NA,NA,6.77102683074303,9.07864568690416,14.8561280156313,14.7828848863509
4,"7","1","1",2.61027342833618,10.5044276334583,1.59672689076427,1.61060040610498,0.991386122039879,1.36214820293343,NA,NA,NA,NA,4.84064921725054,5.19819874682244,14.6723214087301,14.6176945136545
4,"8","1","1",2.64987050357875,10.4001617264294,1.56229819642935,1.60660440316273,0.972422454061399,1.23535050258099,NA,NA,NA,NA,4.82152595699981,5.80439198456597,14.5400496349418,14.5627536289983
4,"9","1","1",2.22861357437995,10.6353750481064,1.37151501286428,1.34295704857838,1.02126498707917,1.02993722569073,NA,NA,NA,NA,3.21731772437586,3.30480481255322,13.6919520232416,13.524579849751
4,"10","1","1",2.84234927537673,10.2850976868129,1.5144141194862,1.59383047949266,0.950172643183643,0.911647274106389,NA,NA,NA,NA,5.06444748674046,5.35269778603624,14.5895915619548,14.6197949376979
4,"1","2","1",2.7646746702458,10.3276174418357,1.51979878152095,1.60807404378871,0.945104976596865,0.919157627949394,0.553314206472341,0.0571900882764248,0.964409005482137,-0.420021290796838,3.65005365278892,6.46798769633557,14.5293666369771,14.4064076548202
4,"2","2","1",2.67084320601077,10.0708894262215,1.62180838969937,1.48360249473305,1.09315560971148,0.930062650075717,0.679160507374752,-0.257638386574441,0.638635710454077,-0.326600831358421,3.45649264990483,4.41904585557236,14.4024853453013,14.3960272650987
4,"3","2","1",3.37419777653359,10.1064393725705,1.37634069172894,1.43703876058175,0.957761703777399,1.25750164621126,0.733232282711648,-0.376681518432841,0.406246777831701,-0.00844765383623743,3.24833847323639,5.07359030637441,14.750485074355,14.854857594016
4,"4","2","1",2.11675618901682,9.93936446607291,1.41111898908585,1.45232049132291,0.971630571569276,1.02253456085465,0.525162776658204,-0.211214691235682,0.64324219891091,-0.20219666717068,2.51279689552793,3.54118370159755,12.9263593196595,12.8257512131547
4,"5","2","1",3.55623930698184,9.61696283342805,1.56755533838112,1.43486600916118,1.09247506622413,1.0557987225036,0.773693737316796,-0.249119564712514,0.98435427736966,-0.460131770191932,2.54698386731415,5.84009638796353,15.1915647436482,15.2043301527245
4,"6","2","1",3.23377705419021,9.5293915029071,1.65445804420043,1.68293594232259,0.983078442021477,0.923564467072973,0.740128850965275,-0.186421154005046,0.756011815224732,-0.300026576378404,5.23260901659698,36.8789264682729,14.8795399633629,14.7828848863509
4,"7","2","1",2.57299899627837,10.4094813930838,1.6557944855587,1.60993202752993,1.02848720147467,1.38585670437682,0.603957658544226,-0.406729169604396,0.592675366479396,-0.237310378682137,6.59457556582752,6.59457556582752,14.6698389424696,14.6176945136545
4,"8","2","1",3.02329856846965,10.3477590664938,1.40982062488465,1.60286826342942,0.879561132409138,1.10960546613001,0.60381470982306,-0.269188190791838,0.664039755011015,-0.303632010813401,3.86298885891019,5.59910952449674,14.6100677435065,14.5627536289983
4,"9","2","1",2.44880380422461,10.6382037970679,1.26649527994109,1.33949417848809,0.945502638444167,0.955316780564195,0.491586447394676,-0.163862238273411,0.600920348304508,-0.285690748314369,3.5148080755594,3.58096306255442,13.7396022566201,13.524579849751
4,"10","2","1",2.96283070784738,10.0977704576238,1.51398886592556,1.59089458573628,0.951658821080767,0.882373273140316,0.648122635734164,-0.349227081739936,0.74927197397595,-0.430766750026569,3.7987009322736,5.323811130785,14.5834631609271,14.6197949376979
4,"1","4","1",2.69383744979085,10.3347131943017,1.54727176448475,1.60727672940382,0.962666687185022,0.93704414954273,0.593643789263933,NA,0.671498697514108,NA,4.69992215331972,7.0347648971816,14.5028118184747,14.4064076548202
4,"2","4","1",2.70221706002199,10.1438403591918,1.58184676564036,1.4840312580992,1.06591202645316,0.919439604045537,0.538724048812333,NA,0.499162774627524,NA,3.47965984907746,4.36928505297107,14.4183336756458,14.3960272650987
4,"3","4","1",3.55780060741884,10.0862257589773,1.3296459404262,1.43353925755607,0.927526702472739,1.21011163985567,0.499053957550186,NA,0.415695294848667,NA,3.91182704262102,5.24857291742202,14.8168408934776,14.854857594016
4,"4","4","1",2.21656440393166,9.91380070134842,1.40118459247155,1.45330957244749,0.964133601701829,1.00023041745657,0.427949573666572,NA,0.543653723391499,NA,2.75007478445533,3.79805148002458,13.0196165923583,12.8257512131547
4,"5","4","1",3.90974987227644,9.42168415181352,1.470035174912,1.43303695516567,1.02581804999024,0.963163466799284,0.659250971115644,NA,0.665019080614774,NA,3.03741437393721,5.6167656328262,15.1691539891676,15.2043301527245
