"setting","dataset","method","block","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
7,"1","1","1",0.807803428080377,9.72671959227944,1.42522905003067,1.39364987221196,1.02265933391762,1.04529774240832,NA,NA,NA,NA,2.12454238564884,2.14045558585194,10.878024504694,11.1123945408742,1,1,0,1
7,"2","1","1",1.18223732093802,10.3239169488236,1.71018446286103,1.7217648275613,0.993274130987639,1.0231641842004,NA,NA,NA,NA,2.97895219023641,3.03017120448825,12.3457608465063,12.070670771313,1,1,0,1
7,"3","1","1",4.30612171738772,11.1053965496707,2.27910732998548,2.02807161222496,1.12378049978477,0.797383352302108,NA,NA,NA,NA,8.94015135203583,9.01766038658539,20.9195101195787,21.1545219699921,1,1,1,1
7,"4","1","1",1.35656832415844,10.2147341328196,1.08183570998105,1.09639486196876,0.986720886340563,1.09952902210637,NA,NA,NA,NA,1.99509473093187,1.99509473093187,11.6823181889233,11.8062612400128,1,1,1,1
7,"5","1","1",2.70768295308798,14.3092751378908,1.18095642646806,1.11666143551376,1.05757787356981,0.966012269546579,NA,NA,NA,NA,3.03038429119269,3.08932690263199,17.506930722178,17.4613741667084,1,1,1,1
7,"6","1","1",3.74222548033599,12.0310027311695,1.75639562422453,1.45496161390617,1.20717660688593,0.871744866481908,NA,NA,NA,NA,5.15849911717192,5.27329204573836,18.6038311896931,18.3053309339927,1,1,1,1
7,"7","1","1",3.2265941878076,11.5514746177305,1.92595787522915,1.78218828523838,1.08067025868231,0.895443038422848,NA,NA,NA,NA,5.9207142029908,6.05417519484773,17.7657591039072,17.5653103701161,1,1,1,1
7,"8","1","1",1.05309725898237,10.6351672067737,1.51500440271745,1.40598529526273,1.07753929420318,0.901157664626453,NA,NA,NA,NA,2.30629353831632,2.33053967337236,12.2306141906216,12.4651404500697,1,1,0,1
7,"9","1","1",0.832294035891327,10.4936865516077,1.2369164911319,1.27949557882996,0.966721973563208,0.960836598048184,NA,NA,NA,NA,1.94659269480513,1.96894214797465,11.5231647700724,11.6485907025735,1,1,0,1
7,"10","1","1",2.99785544337022,12.0305039853329,1.95539632592831,1.8789887739373,1.04066418759433,0.766708264171436,NA,NA,NA,NA,5.88679339926016,6.29529592044167,17.8924995049632,17.8696967772061,1,1,1,1
