"setting","rule","prob","iid","AR1","AR2","contrast","gap","t_p","w_p","datasets_won","blocks_won"
4,"per-block",0.9,0.100322309432315,0.101987747572778,0.101068612384537,"AR(2)-i--ii.i.d.-i",0.000746302952222222,0.750981066277008,0.6875,5,2
4,"per-block",0.91,0.0919554859191667,0.0937652093622222,0.0928305819040741,"AR(2)-i--ii.i.d.-i",0.000875095984907406,0.796062052520843,0.7216796875,5,2
4,"per-block",0.92,0.0829327769709259,0.0848773206060185,0.0839499632906481,"AR(2)-i--ii.i.d.-i",0.00101718631972222,0.837540339940006,0.75390625,5,2
4,"per-block",0.93,0.0740057154672222,0.0759993095851852,0.0751231774423148,"AR(2)-i--ii.i.d.-i",0.00111746197509259,0.871691700296577,0.8388671875,3,2
4,"per-block",0.94,0.0645762439736111,0.0665868735115741,0.0657471840883333,"AR(2)-i--ii.i.d.-i",0.00117094011472222,0.895526671592792,0.8388671875,3,2
4,"per-block",0.95,0.0548812471258333,0.0569210436882407,0.0561284007843518,"AR(2)-i--ii.i.d.-i",0.00124715365851852,0.91741144347955,0.9033203125,3,2
4,"per-block",0.96,0.0454327486433333,0.0474758472646296,0.0467387271061111,"AR(2)-i--ii.i.d.-i",0.00130597846277778,0.936181938010939,0.9345703125,3,1
4,"per-block",0.97,0.0352291228875926,0.0370924373848148,0.0365160644697222,"AR(2)-i--ii.i.d.-i",0.00128694158212963,0.945185470246709,0.9677734375,3,1
4,"per-block",0.98,0.0250553060424074,0.0267116692537963,0.0262244173868519,"AR(2)-i--ii.i.d.-i",0.00116911134444444,0.951230777229989,0.986328125,2,1
4,"per-block",0.99,0.0140796862393519,0.0154778353240741,0.0151304553789815,"AR(2)-i--ii.i.d.-i",0.00105076913962963,0.960188408142243,0.9931640625,2,0
4,"per-block",0.995,0.00809714124888889,0.00918840697416667,0.00890971057916667,"AR(2)-i--ii.i.d.-i",0.000812569330277778,0.961662908583357,0.9951171875,1,0
5,"per-block",0.9,0.134881589314722,0.137218908510741,0.115387134289167,"AR(2)-i--ii.i.d.-i",-0.0194944550255556,0.113633944959383,0.1162109375,7,5
5,"per-block",0.91,0.126002309683519,0.128596929002407,0.106769313848333,"AR(2)-i--ii.i.d.-i",-0.0192329958351852,0.113465419845863,0.1162109375,7,5
5,"per-block",0.92,0.116396135326296,0.119207692750648,0.0973197801922222,"AR(2)-i--ii.i.d.-i",-0.0190763551340741,0.112336962303867,0.1162109375,7,5
5,"per-block",0.93,0.106930747898426,0.1098663691375,0.0880115422525926,"AR(2)-i--ii.i.d.-i",-0.0189192056458333,0.110668302289659,0.0966796875,7,5
5,"per-block",0.94,0.0969187770855556,0.100090403924444,0.0783255483871296,"AR(2)-i--ii.i.d.-i",-0.0185932286984259,0.109689780131606,0.0966796875,7,5
5,"per-block",0.95,0.0863342863490741,0.0897844490959259,0.0682586498393519,"AR(2)-i--ii.i.d.-i",-0.0180756365097222,0.109760492602881,0.0966796875,7,5
5,"per-block",0.96,0.0751357646562037,0.0787772949116667,0.0577605591763889,"AR(2)-i--ii.i.d.-i",-0.0173752054798148,0.109704461786315,0.0966796875,7,5
5,"per-block",0.97,0.0631198463109259,0.0668370297386111,0.0463482703876852,"AR(2)-i--ii.i.d.-i",-0.0167715759232407,0.104195203462479,0.0966796875,7,5
5,"per-block",0.98,0.0506088045522222,0.0544135552001852,0.0349182085607407,"AR(2)-i--ii.i.d.-i",-0.0156905959914815,0.102344128244265,0.1162109375,7,5
5,"per-block",0.99,0.0357857941133333,0.0394222660309259,0.022006331337963,"AR(2)-i--ii.i.d.-i",-0.0137794627753704,0.100584341778421,0.0966796875,7,5
5,"per-block",0.995,0.0264321244075926,0.0300870977360185,0.0147757235678704,"AR(2)-i--ii.i.d.-i",-0.0116564008397222,0.104171833352196,0.080078125,7,5
7,"per-block",0.9,0.100845194188889,0.1041397298125,0.10231961486,"AR(2)-i--ii.i.d.-i",0.00147442067111111,0.675015686802563,0.65234375,5,2
7,"per-block",0.91,0.0924044598137037,0.0958720813706481,0.0940394411326852,"AR(2)-i--ii.i.d.-i",0.00163498131898148,0.701795479818127,0.7216796875,4,2
7,"per-block",0.92,0.0833686213028704,0.087062256205,0.0852868614536111,"AR(2)-i--ii.i.d.-i",0.00191824015074074,0.740298091649857,0.7841796875,4,2
7,"per-block",0.93,0.0746337703019444,0.0784567249334259,0.0767519509358333,"AR(2)-i--ii.i.d.-i",0.00211818063388889,0.767852188239976,0.7841796875,4,2
7,"per-block",0.94,0.0652257068153704,0.0691687308350926,0.0675795368059259,"AR(2)-i--ii.i.d.-i",0.00235382999055556,0.799299826845896,0.7841796875,4,2
7,"per-block",0.95,0.0555377326760185,0.0595544797909259,0.058045198362963,"AR(2)-i--ii.i.d.-i",0.00250746568694444,0.821966295469554,0.8125,4,2
7,"per-block",0.96,0.0461134295730556,0.050127562147037,0.048723531740463,"AR(2)-i--ii.i.d.-i",0.00261010216740741,0.839534341460049,0.8388671875,4,2
7,"per-block",0.97,0.0359760295182407,0.0400201881922222,0.0386248864146296,"AR(2)-i--ii.i.d.-i",0.00264885689638889,0.860095733255687,0.8623046875,4,2
7,"per-block",0.98,0.0258308912589815,0.0297153453128704,0.0283431971982407,"AR(2)-i--ii.i.d.-i",0.00251230593925926,0.868789159948084,0.9033203125,3,2
7,"per-block",0.99,0.0145090550781481,0.0180341961546296,0.0167615594063889,"AR(2)-i--ii.i.d.-i",0.00225250432824074,0.884765062003625,0.947265625,3,1
7,"per-block",0.995,0.00868552435481481,0.0118557364612963,0.0106111366937963,"AR(2)-i--ii.i.d.-i",0.00192561233898148,0.886083319023947,0.9677734375,2,1
