"setting","rule","prob","iid","AR1","AR2","contrast","gap","t_p","w_p","datasets_won","blocks_won"
4,"per-block",0.9,0.100322309432315,0.101987747572778,0.101068612384537,"AR(2)-i--iAR(1)",-0.000919135188240741,0.281119220896152,0.419231890961232,5,3
4,"per-block",0.91,0.0919554859191667,0.0937652093622222,0.0928305819040741,"AR(2)-i--iAR(1)",-0.000934627458148149,0.273038581834344,0.419231890961232,5,3
4,"per-block",0.92,0.0829327769709259,0.0848773206060185,0.0839499632906481,"AR(2)-i--iAR(1)",-0.000927357315370372,0.263538772733557,0.379882912989033,5,3
4,"per-block",0.93,0.0740057154672222,0.0759993095851852,0.0751231774423148,"AR(2)-i--iAR(1)",-0.00087613214287037,0.260897263858723,0.379882912989033,5,3
4,"per-block",0.94,0.0645762439736111,0.0665868735115741,0.0657471840883333,"AR(2)-i--iAR(1)",-0.00083968942324074,0.253372041939595,0.341740451100713,5,3
4,"per-block",0.95,0.0548812471258333,0.0569210436882407,0.0561284007843518,"AR(2)-i--iAR(1)",-0.000792642903888889,0.246476418136325,0.270408952121309,6,3
4,"per-block",0.96,0.0454327486433333,0.0474758472646296,0.0467387271061111,"AR(2)-i--iAR(1)",-0.000737120158518518,0.238635126742297,0.179475717926313,7,3
4,"per-block",0.97,0.0352291228875926,0.0370924373848148,0.0365160644697222,"AR(2)-i--iAR(1)",-0.000576372915092593,0.25209708550597,0.131096301203387,8,3
4,"per-block",0.98,0.0250553060424074,0.0267116692537963,0.0262244173868519,"AR(2)-i--iAR(1)",-0.000487251866944445,0.256441839344129,0.0925718620789365,8,3
4,"per-block",0.99,0.0140796862393519,0.0154778353240741,0.0151304553789815,"AR(2)-i--iAR(1)",-0.000347379945092592,0.282790012981723,0.0631394642773489,8,3
4,"per-block",0.995,0.00809714124888889,0.00918840697416667,0.00890971057916667,"AR(2)-i--iAR(1)",-0.000278696395,0.275561343015352,0.0767881982749919,7,3
5,"per-block",0.9,0.134881589314722,0.137218908510741,0.115387134289167,"AR(2)-i--iAR(1)",-0.0218317742215741,0.0463461650199488,0.041565571350402,8,5
5,"per-block",0.91,0.126002309683519,0.128596929002407,0.106769313848333,"AR(2)-i--iAR(1)",-0.0218276151540741,0.0446091705974446,0.041565571350402,8,5
