"setting","rule","prob","iid","AR1","AR2","contrast","gap","t_p","w_p","datasets_won","blocks_won"
4,"full-series",0.9,0.0875462333993519,0.088336896652037,0.0875452262911111,"AR(2)-i--iAR(1)",-0.000791670360925926,0.231186510487488,0.3125,5,4
4,"full-series",0.91,0.079451961569537,0.0802126574693519,0.0794520233724074,"AR(2)-i--iAR(1)",-0.000760634096944446,0.217460612057641,0.24609375,6,4
4,"full-series",0.92,0.0711691198987037,0.0718663160175926,0.0711541122498148,"AR(2)-i--iAR(1)",-0.000712203767777777,0.208733629588322,0.2158203125,6,4
4,"full-series",0.93,0.0631992373457407,0.0638038669657407,0.0631514933977778,"AR(2)-i--iAR(1)",-0.000652373567962963,0.199368714087307,0.1611328125,7,4
4,"full-series",0.94,0.0552895110953704,0.0557843471175926,0.0552145977981481,"AR(2)-i--iAR(1)",-0.000569749319444443,0.196832635764735,0.1376953125,7,4
4,"full-series",0.95,0.0466682463612037,0.0471031285835185,0.0465914512263889,"AR(2)-i--iAR(1)",-0.00051167735712963,0.182052481618489,0.1376953125,7,4
4,"full-series",0.96,0.0382769017694444,0.0386334466875926,0.038206052245463,"AR(2)-i--iAR(1)",-0.00042739444212963,0.177439922755288,0.1162109375,8,4
4,"full-series",0.97,0.0292261547982407,0.0295203047828704,0.0291749264375,"AR(2)-i--iAR(1)",-0.00034537834537037,0.159807129799674,0.1162109375,8,4
4,"full-series",0.98,0.0199562899261111,0.0201899172858333,0.019951362202037,"AR(2)-i--iAR(1)",-0.000238555083796296,0.154679892344067,0.1162109375,8,4
4,"full-series",0.99,0.00960801384972222,0.00975124675175926,0.00961818094685185,"AR(2)-i--iAR(1)",-0.000133065804907408,0.149509248176038,0.080078125,8,4
4,"full-series",0.995,0.00478598543759259,0.00487999215611111,0.00478699400101852,"AR(2)-i--iAR(1)",-9.29981550925925e-05,0.155707563980063,0.080078125,8,3
5,"full-series",0.9,0.120722292508148,0.11881354138,0.0949250072777778,"AR(2)-i--iAR(1)",-0.0238885341022222,0.000182041968205974,0.0009765625,10,5
5,"full-series",0.91,0.111896424249537,0.110989270055185,0.0896173853539815,"AR(2)-i--iAR(1)",-0.0213718847012037,0.000176280270196357,0.0009765625,10,5
5,"full-series",0.92,0.102587202975278,0.102477139615093,0.0837263357693518,"AR(2)-i--iAR(1)",-0.0187508038457407,0.000211120168395516,0.0009765625,10,5
5,"full-series",0.93,0.0918838707397222,0.0924363587728704,0.0764265814298148,"AR(2)-i--iAR(1)",-0.0160097773430556,0.000309195877717457,0.0009765625,10,5
5,"full-series",0.94,0.0805919935605556,0.0816913448841667,0.0684217249455556,"AR(2)-i--iAR(1)",-0.0132696199386111,0.00043566990763038,0.0009765625,10,5
5,"full-series",0.95,0.0680127921162037,0.0695713626807407,0.0591116358605556,"AR(2)-i--iAR(1)",-0.0104597268201852,0.00100269324913286,0.0009765625,10,5
5,"full-series",0.96,0.0550381800862963,0.0568694402209259,0.0490176063678704,"AR(2)-i--iAR(1)",-0.00785183385305556,0.00263129435600568,0.0009765625,10,5
5,"full-series",0.97,0.0417498877231482,0.0435694611183333,0.037954843800463,"AR(2)-i--iAR(1)",-0.00561461731787037,0.00782478115397376,0.0009765625,10,5
5,"full-series",0.98,0.0280002326359259,0.0296365887909259,0.0260027372941667,"AR(2)-i--iAR(1)",-0.00363385149675926,0.0293787351430246,0.0009765625,10,5
5,"full-series",0.99,0.0140176795141667,0.0152178649107407,0.0131645404356481,"AR(2)-i--iAR(1)",-0.00205332447509259,0.0841859700927536,0.0185546875,9,4
5,"full-series",0.995,0.00721488224351852,0.00822049313046296,0.00665026965944444,"AR(2)-i--iAR(1)",-0.00157022347101852,0.0949879487952301,0.0322265625,8,4
7,"full-series",0.9,0.102379849300278,0.104325549184352,0.102241043771759,"AR(2)-i--iAR(1)",-0.00208450541259259,0.250063318028486,0.2783203125,7,3
7,"full-series",0.91,0.0932567558642593,0.0954322710731482,0.093495138892037,"AR(2)-i--iAR(1)",-0.00193713218111111,0.252175738875542,0.2783203125,7,3
7,"full-series",0.92,0.0838813988335185,0.0862417630801852,0.0845193560836111,"AR(2)-i--iAR(1)",-0.00172240699657407,0.263794869687876,0.2783203125,7,3
7,"full-series",0.93,0.0749100560232407,0.0773721586943519,0.0757718689246296,"AR(2)-i--iAR(1)",-0.00160028976972222,0.26381041281926,0.2158203125,7,3
7,"full-series",0.94,0.0653221684301852,0.0678533328494444,0.0663905033963889,"AR(2)-i--iAR(1)",-0.00146282945305556,0.265339111268411,0.1611328125,7,3
7,"full-series",0.95,0.055649062177037,0.0582609129675,0.0569444631535185,"AR(2)-i--iAR(1)",-0.00131644981398148,0.269381838591912,0.1376953125,7,3
7,"full-series",0.96,0.0452889801284259,0.0478835243657407,0.0467290204857407,"AR(2)-i--iAR(1)",-0.00115450388,0.275694238431655,0.1611328125,7,3
7,"full-series",0.97,0.0343265229755556,0.0368009588611111,0.0358627325248148,"AR(2)-i--iAR(1)",-0.000938226336296296,0.292225447399972,0.1875,7,3
7,"full-series",0.98,0.0230914480125,0.0252804821639815,0.0245383360221296,"AR(2)-i--iAR(1)",-0.000742146141851852,0.30209762795789,0.34765625,5,3
7,"full-series",0.99,0.0116710870296296,0.013236462165,0.0128663895842593,"AR(2)-i--iAR(1)",-0.000370072580740741,0.35495123193761,0.3125,5,3
7,"full-series",0.995,0.0058093829037037,0.0068275585362037,0.00676400291601852,"AR(2)-i--iAR(1)",-6.35556201851852e-05,0.463318111319881,0.384765625,5,3
