"score","method","lead","rel_mean"
"crps",2,1,1.63991280159338
"crps",2,2,1.73955796102373
"crps",2,3,1.62923987385788
"crps",2,4,2.06627424126706
"crps",2,5,1.91660867596684
"crps",2,6,2.05812874177513
"crps",2,7,3.22794420666492
"crps",2,8,2.20906262298397
"crps",2,9,3.87403990620935
"crps",2,10,2.85922874787697
"crps",2,11,3.68447192296196
"crps",2,12,4.36101941530479
"crps",2,13,3.35925486597658
"crps",2,14,4.2552017843075
"crps",2,15,5.256279536388
"brier",2,1,2.24546771951747
"brier",2,2,1.4388765964079
"brier",2,3,1.30109724496268
"brier",2,4,1.69777038060776
"brier",2,5,1.21282703304531
"brier",2,6,1.18257007668495
"brier",2,7,3.83960657124109
"brier",2,8,1.15345013173682
"brier",2,9,3.9193897445121
"brier",2,10,1.54126540144551
"brier",2,11,2.13136009256389
"brier",2,12,1.92023791540298
"brier",2,13,1.39649087308159
"brier",2,14,2.37634233677428
"brier",2,15,4.30925322060003
