"setting","method","block","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
7,1,1,"beta0",10,11.2421877454098,10.8702818782222,1.32871369402107,0.235500863315057
7,1,2,"beta0",10,11.2220124586435,10.7958494902534,1.36344913277544,0.189660365741837
7,1,3,"beta0",10,11.2278032926616,10.9152315613979,1.33092909560396,0.177634132439278
7,1,4,"beta0",10,11.2321954754475,10.9015752620793,1.33690895389678,0.160189258033179
7,1,5,"beta0",10,11.3084291080624,11.0049984824929,1.36440475822205,0.149632886759222
7,2,1,"beta0",10,10.3786761924166,10.3394238311353,1.44139673958795,0.600748312056344
7,2,2,"beta0",10,10.2254549084893,10.1668137331289,1.45409702609466,0.536984419762958
7,2,3,"beta0",10,10.1398564781237,10.0339624406939,0.94214357767967,0.523751440511991
7,2,4,"beta0",10,10.4181436526388,10.2935940109412,0.559303738499628,0.429807269811408
7,2,5,"beta0",10,10.2767583472629,10.0523370000539,0.895760994611528,0.390456025688339
7,4,1,"beta0",10,10.6336718186981,10.3541140745367,1.5099071827405,0.561935491197962
7,4,2,"beta0",10,10.4304503403978,10.1957682497143,1.37151006433359,0.562103150493664
7,4,3,"beta0",10,10.44993641926,10.3208236444806,0.729328716532461,0.480558860296233
7,4,4,"beta0",10,10.5196908084378,10.3999685134985,0.762377660153381,0.408593627074346
7,4,5,"beta0",10,10.7304990550158,10.3927103577112,1.10798569254992,0.356060419137974
7,1,1,"beta1",10,0.00161159754099496,0.00647061217316918,0.0196326328604149,0.0152230334596705
7,1,2,"beta1",10,0.000313149344652293,0.0059461634425177,0.0153744253206598,0.0120315929209986
7,1,3,"beta1",10,0.000250696854161758,0.00571205201230266,0.0143304264646858,0.010511087312706
7,1,4,"beta1",10,-0.000113782530095246,0.00174899729415589,0.0107279874335261,0.00943210261918025
7,1,5,"beta1",10,-8.12484725495227e-06,0.00215077350220335,0.00945277403404829,0.00853746245718081
7,2,1,"beta1",10,0.00140114880207139,0.00638706789411775,0.0197950854766807,0.0151331352548195
7,2,2,"beta1",10,7.63806668033185e-05,0.00627053568194644,0.0157233233136204,0.0118941437765157
7,2,3,"beta1",10,-3.79457773744021e-05,0.00550400007044338,0.0145175256124855,0.0103830839806397
7,2,4,"beta1",10,-0.000138951291720334,0.00192677416384744,0.0108490676368795,0.00933009427375867
7,2,5,"beta1",10,-0.00013501863703989,0.0022541392908827,0.00965637535479675,0.00841046397905698
7,4,1,"beta1",10,0.00162461013001752,0.00657966064640321,0.0197430394463007,0.0152034299610516
7,4,2,"beta1",10,0.000251158529701721,0.00655554158840783,0.0156550226231982,0.0119279312372243
7,4,3,"beta1",10,6.70845736957909e-05,0.00555590705405478,0.0144306615199726,0.0103826774758201
7,4,4,"beta1",10,-0.000115062970049137,0.00199772463039619,0.0108118574372718,0.00928057408956709
7,4,5,"beta1",10,-0.000183157223588903,0.00210129390389941,0.00965220180690385,0.00847210670516375
7,1,1,"beta2",10,0.00800362887905678,0.00552693084158147,0.0255849193072185,0.0151041022645731
7,1,2,"beta2",10,0.00532883265952934,0.00012039221294279,0.0135666454707392,0.0118858473417018
7,1,3,"beta2",10,0.00573799489263776,0.0040999071471249,0.00996765625663996,0.0104199951930909
7,1,4,"beta2",10,0.00439119064560113,0.00381958472768787,0.00781123357319133,0.00933675996766463
7,1,5,"beta2",10,0.00279713525961942,0.00253729521166114,0.00720023190231255,0.008495207714076
7,2,1,"beta2",10,0.00816513281113452,0.00553242343050887,0.0258790133323172,0.0150507451220852
7,2,2,"beta2",10,0.00548786218523475,0.000648846878228434,0.0138657949636724,0.0118191040328603
7,2,3,"beta2",10,0.00577913741572697,0.00438385151326111,0.0102270973699282,0.0103099357923479
7,2,4,"beta2",10,0.00435153384550321,0.00409444391074208,0.00792861756149209,0.00925337929526246
7,2,5,"beta2",10,0.00275789798371229,0.00244928442470388,0.00739901046866486,0.00836936677215084
7,4,1,"beta2",10,0.00819606514803251,0.00563973040839536,0.025895638812568,0.0150475571045536
7,4,2,"beta2",10,0.00541117038483582,0.000686170145834203,0.0138033683656489,0.0117911012357132
7,4,3,"beta2",10,0.00580833848879747,0.00457939530233017,0.0101987680903788,0.0102273179092511
7,4,4,"beta2",10,0.00434988396524475,0.00397819872907925,0.00789570254877705,0.00924364550503217
7,4,5,"beta2",10,0.00272213794090696,0.00233236277923332,0.00740811407325283,0.00834227820147601
7,1,1,"lambda",10,2.221248015004,2.03212563862321,1.31779862372514,0.269001044874572
7,1,2,"lambda",10,2.35718198370585,2.14476456291927,1.24472478572322,0.198084402014987
7,1,3,"lambda",10,2.28475624589045,2.15184009663182,1.09398160705827,0.169935837323662
7,1,4,"lambda",10,2.34941954885435,2.36144761432336,1.019139235929,0.15716721248032
7,1,5,"lambda",10,2.35921771285089,2.42374346106564,0.953056798983986,0.142306035669811
7,2,1,"lambda",10,3.68436113490618,2.0988644770404,3.6034138679927,0.86374507833597
7,2,2,"lambda",10,3.76606218580169,2.7674527971403,2.73544284500915,0.822037572148518
7,2,3,"lambda",10,3.8029552451153,2.71185581813051,3.32756406697368,0.713324791554202
7,2,4,"lambda",10,2.9721090302074,2.69995359281044,1.77439787734304,0.576283128383935
7,2,5,"lambda",10,5.03624406277079,2.52798057245872,4.615971707629,0.74698586292639
7,4,1,"lambda",10,2.66581904500807,2.04969892409246,2.31384712532641,0.509772765264523
7,4,2,"lambda",10,3.57191989686144,2.1433092592576,2.93181486866158,0.848885533154141
7,4,3,"lambda",10,3.22546977806159,2.26596529817258,2.3483988049696,0.572211392063275
7,4,4,"lambda",10,3.49873364046937,2.37286321296093,2.33331005808364,0.671559929273921
7,4,5,"lambda",10,3.02642241271248,2.46691562506429,1.72414424567253,0.518092033372672
7,1,1,"rho",10,1.08930614519667,1.08379547894308,0.138033650234235,0.119838200899172
7,1,2,"rho",10,1.05709963888145,1.05087624629677,0.0783106666271669,0.0904628781503075
7,1,3,"rho",10,1.06230712128247,1.05711848074319,0.103485986664017,0.0814189610326223
7,1,4,"rho",10,1.0705624984764,1.07797352463388,0.0864161989728867,0.0693872789412632
7,1,5,"rho",10,1.06048674273136,1.07007455679708,0.096304332270969,0.0695928281081931
7,2,1,"rho",10,1.06420431648723,1.06453781076094,0.118524183420455,0.123093437101499
7,2,2,"rho",10,1.03045285069638,1.04573667486076,0.0802167225252001,0.0941021951195482
7,2,3,"rho",10,1.02353226736794,1.0068747355067,0.0967977060924595,0.0809169217571649
7,2,4,"rho",10,1.04075445133683,1.04738037598666,0.0866284242261628,0.0693160507727809
