"setting","method","dataset","block","param","mean","sd","q025","q50","q975","truth","truth_is_generating","covered"
7,1,1,1,"beta0",9.72671959227944,0.174100214314142,9.37012550089153,9.73231763942846,10.0553027259591,10,TRUE,TRUE
7,1,1,1,"beta1",0.0188615688514194,0.0142833669242085,-0.00955736807765798,0.018859904906338,0.0464248199811875,0,TRUE,TRUE
7,1,1,1,"beta2",0.0405913485231091,0.0142602526498205,0.0126924712341712,0.0404699087382469,0.06835204159479,0,TRUE,FALSE
7,1,1,1,"lambda",0.807803428080377,0.111446695203872,0.611689547557949,0.799626775906484,1.04987446354331,3,TRUE,FALSE
7,1,1,1,"rho",1.12379814671413,0.119578467059802,0.902453159069523,1.12646897455173,1.36864404180594,1,TRUE,TRUE
7,1,1,1,"nu",0.415227773300094,0.05522404596381,0.341187133289182,0.400162000581685,0.544101520678148,0.5,TRUE,TRUE
7,1,1,1,"gamma",0.953674118734812,0.03284910070548,0.880989659810026,0.961097073081884,0.997691305054079,0.9,TRUE,TRUE
7,1,1,1,"tau.alpha",4.3765,0.478380219870634,3.25,4.45,5,3,TRUE,FALSE
7,1,1,1,"tau.beta",11.8129914159872,1.55984872551441,8.4642498952446,11.957631558,14.5478207059509,8,TRUE,FALSE
7,1,1,1,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,1,1,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,1,1,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,1,1,"phi.tau2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,1,1,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,1,1,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,1,2,"beta0",9.92079393452477,0.147200584693282,9.62071399430542,9.92521354070358,10.2000675107328,10,TRUE,TRUE
7,1,1,2,"beta1",0.0128763317085026,0.01187376682329,-0.0104888354669805,0.0128967195071232,0.0357510065327133,0,TRUE,TRUE
7,1,1,2,"beta2",0.0184551371308837,0.0116714741635356,-0.00430738154364421,0.0184368716861903,0.041332624888029,0,TRUE,TRUE
7,1,1,2,"lambda",1.1243646090448,0.105921358953299,0.940457713860879,1.115451030942,1.3513982293225,3,TRUE,FALSE
7,1,1,2,"rho",1.18485384213109,0.101195019767247,1.01622359151033,1.17704835004727,1.40988263129532,1,TRUE,FALSE
7,1,1,2,"nu",0.408384215382774,0.0412769229883428,0.338496521912096,0.404504236925846,0.490217608228133,0.5,TRUE,FALSE
7,1,1,2,"gamma",0.955066949281843,0.026160531838364,0.905303324641006,0.956204386228569,0.998030131089645,0.9,TRUE,FALSE
7,1,1,2,"tau.alpha",4.60044,0.34390206929201,3.75,4.7,5,3,TRUE,FALSE
7,1,1,2,"tau.beta",12.7638043516206,1.19037832371269,10.0676552734153,12.8689844379561,14.8321503101694,8,TRUE,FALSE
7,1,1,2,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,1,2,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,1,2,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
